timestamp,protocol,src_addr,src_port,dst_addr,dst_port,length_B
2021-06-25 19:45:05.992739,TCP,192.168.1.7,22,192.168.1.9,41990,594
2021-06-25 19:45:06.035168,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:06.037258,TCP,192.168.1.7,22,192.168.1.9,41990,130
2021-06-25 19:45:06.037288,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:06.038467,TCP,192.168.1.9,41990,192.168.1.7,22,162
2021-06-25 19:45:06.040401,TCP,192.168.1.7,22,192.168.1.9,41990,66
2021-06-25 19:45:06.045436,TCP,192.168.1.7,22,192.168.1.9,41990,114
2021-06-25 19:45:06.045466,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:06.046374,TCP,192.168.1.9,41990,192.168.1.7,22,242
2021-06-25 19:45:06.049897,TCP,192.168.1.7,22,192.168.1.9,41990,178
2021-06-25 19:45:06.049947,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:07.836175,TCP,192.168.1.7,22,192.168.1.9,41990,226
2021-06-25 19:45:07.836176,TCP,192.168.1.7,22,192.168.1.9,41990,210
2021-06-25 19:45:07.836176,TCP,192.168.1.7,22,192.168.1.9,41990,210
2021-06-25 19:45:07.836223,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:07.836256,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:07.836266,TCP,192.168.1.9,41990,192.168.1.7,22,78
2021-06-25 19:45:07.916495,TCP,192.168.1.7,22,192.168.1.9,41990,178
2021-06-25 19:45:07.916524,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:07.917276,TCP,192.168.1.7,22,192.168.1.9,41990,194
2021-06-25 19:45:07.917297,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:10.805833,TCP,192.168.1.7,22,192.168.1.9,41990,178
2021-06-25 19:45:10.805833,TCP,192.168.1.7,22,192.168.1.9,41990,162
2021-06-25 19:45:10.805833,TCP,192.168.1.7,22,192.168.1.9,41990,210
2021-06-25 19:45:10.805866,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:10.805908,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:10.805922,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:11.112958,TCP,192.168.1.7,50960,192.168.1.9,22,74
2021-06-25 19:45:11.113006,TCP,192.168.1.9,22,192.168.1.7,50960,74
2021-06-25 19:45:11.114945,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.115501,TCP,192.168.1.7,50960,192.168.1.9,22,90
2021-06-25 19:45:11.115527,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.128587,TCP,192.168.1.9,22,192.168.1.7,50960,107
2021-06-25 19:45:11.130121,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.130229,TCP,192.168.1.9,22,192.168.1.7,50960,1146
2021-06-25 19:45:11.132930,TCP,192.168.1.7,50960,192.168.1.9,22,706
2021-06-25 19:45:11.132931,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.132977,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.134777,TCP,192.168.1.7,50960,192.168.1.9,22,90
2021-06-25 19:45:11.134820,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.146581,TCP,192.168.1.9,22,192.168.1.7,50960,346
2021-06-25 19:45:11.148172,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.224804,TCP,192.168.1.7,50960,192.168.1.9,22,338
2021-06-25 19:45:11.224834,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.230615,TCP,192.168.1.9,22,192.168.1.7,50960,914
2021-06-25 19:45:11.232812,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.327201,TCP,192.168.1.7,50960,192.168.1.9,22,82
2021-06-25 19:45:11.327233,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.332663,TCP,192.168.1.7,50960,192.168.1.9,22,130
2021-06-25 19:45:11.332670,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.332745,TCP,192.168.1.9,22,192.168.1.7,50960,130
2021-06-25 19:45:11.334509,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.387892,TCP,192.168.1.7,50960,192.168.1.9,22,1234
2021-06-25 19:45:11.391728,TCP,192.168.1.9,22,192.168.1.7,50960,114
2021-06-25 19:45:11.393231,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.397343,TCP,192.168.1.7,22,192.168.1.9,41990,338
2021-06-25 19:45:11.397355,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:11.398060,TCP,192.168.1.7,50960,192.168.1.9,22,146
2021-06-25 19:45:11.438695,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.495549,TCP,192.168.1.9,22,192.168.1.7,50960,594
2021-06-25 19:45:11.497340,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.497358,TCP,192.168.1.9,22,192.168.1.7,50960,130
2021-06-25 19:45:11.498846,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.499898,TCP,192.168.1.7,50960,192.168.1.9,22,306
2021-06-25 19:45:11.499917,TCP,192.168.1.9,22,192.168.1.7,50960,66
2021-06-25 19:45:11.500336,TCP,192.168.1.9,22,192.168.1.7,50960,178
2021-06-25 19:45:11.503432,TCP,192.168.1.7,22,192.168.1.9,41990,162
2021-06-25 19:45:11.503432,TCP,192.168.1.7,22,192.168.1.9,41990,130
2021-06-25 19:45:11.503441,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:11.503454,TCP,192.168.1.9,41990,192.168.1.7,22,66
2021-06-25 19:45:11.543836,TCP,192.168.1.7,50960,192.168.1.9,22,66
2021-06-25 19:45:11.827339,TCP,192.168.1.9,34570,192.168.1.7,45991,74
2021-06-25 19:45:11.830642,TCP,192.168.1.7,45991,192.168.1.9,34570,74
2021-06-25 19:45:11.830680,TCP,192.168.1.9,34570,192.168.1.7,45991,66
2021-06-25 19:45:11.830799,TCP,192.168.1.9,34570,192.168.1.7,45991,467
2021-06-25 19:45:11.833641,TCP,192.168.1.7,45991,192.168.1.9,34570,66
2021-06-25 19:45:11.835716,TCP,192.168.1.7,45991,192.168.1.9,34570,440
2021-06-25 19:45:11.835755,TCP,192.168.1.9,34570,192.168.1.7,45991,66
2021-06-25 19:45:11.910450,TCP,192.168.1.7,22,192.168.1.9,41990,370
2021-06-25 19:45:11.910450,TCP,192.168.1.7,22,192.168.1.9,41990,530
