timestamp,protocol,src_addr,src_port,dst_addr,dst_port,length_B
2021-06-30 17:41:22.064940,TCP,192.168.1.9,38256,192.168.1.7,36247,467
2021-06-30 17:41:22.067945,TCP,192.168.1.7,36247,192.168.1.9,38256,66
2021-06-30 17:41:22.070108,TCP,192.168.1.7,36247,192.168.1.9,38256,440
2021-06-30 17:41:22.070136,TCP,192.168.1.9,38256,192.168.1.7,36247,66
2021-06-30 17:41:22.142190,TCP,192.168.1.7,22,192.168.1.9,45066,1514
2021-06-30 17:41:22.142221,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.142501,TCP,192.168.1.7,22,192.168.1.9,45066,1514
2021-06-30 17:41:22.142501,TCP,192.168.1.7,22,192.168.1.9,45066,2962
2021-06-30 17:41:22.142501,TCP,192.168.1.7,22,192.168.1.9,45066,1010
2021-06-30 17:41:22.142525,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.142575,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.142585,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.149306,TCP,192.168.1.7,22,192.168.1.9,45066,178
2021-06-30 17:41:22.149306,TCP,192.168.1.7,22,192.168.1.9,45066,242
2021-06-30 17:41:22.149328,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.149360,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.461618,TCP,192.168.1.7,22,192.168.1.9,45066,194
2021-06-30 17:41:22.461618,TCP,192.168.1.7,22,192.168.1.9,45066,194
2021-06-30 17:41:22.461653,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.461698,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.465663,TCP,192.168.1.7,22,192.168.1.9,45066,178
2021-06-30 17:41:22.465695,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.508351,TCP,192.168.1.7,22,192.168.1.9,45066,178
2021-06-30 17:41:22.508381,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.511441,TCP,192.168.1.7,59990,192.168.1.9,42889,74
2021-06-30 17:41:22.511486,TCP,192.168.1.9,42889,192.168.1.7,59990,74
2021-06-30 17:41:22.513543,TCP,192.168.1.7,59990,192.168.1.9,42889,66
2021-06-30 17:41:22.513543,TCP,192.168.1.7,59990,192.168.1.9,42889,667
2021-06-30 17:41:22.513628,TCP,192.168.1.9,42889,192.168.1.7,59990,66
2021-06-30 17:41:22.519784,TCP,192.168.1.9,38258,192.168.1.7,36247,74
2021-06-30 17:41:22.525630,TCP,192.168.1.7,36247,192.168.1.9,38258,74
2021-06-30 17:41:22.525656,TCP,192.168.1.9,38258,192.168.1.7,36247,66
2021-06-30 17:41:22.525723,TCP,192.168.1.9,38258,192.168.1.7,36247,507
2021-06-30 17:41:22.532306,TCP,192.168.1.7,36247,192.168.1.9,38258,66
2021-06-30 17:41:22.551617,TCP,192.168.1.7,36247,192.168.1.9,38258,430
2021-06-30 17:41:22.551616,TCP,192.168.1.7,22,192.168.1.9,45066,162
2021-06-30 17:41:22.551642,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.551664,TCP,192.168.1.9,38258,192.168.1.7,36247,66
2021-06-30 17:41:22.552819,TCP,192.168.1.9,35766,192.168.1.7,11311,74
2021-06-30 17:41:22.554413,TCP,192.168.1.7,11311,192.168.1.9,35766,74
2021-06-30 17:41:22.554444,TCP,192.168.1.9,35766,192.168.1.7,11311,66
2021-06-30 17:41:22.554547,TCP,192.168.1.9,35766,192.168.1.7,11311,398
2021-06-30 17:41:22.560369,TCP,192.168.1.7,11311,192.168.1.9,35766,66
2021-06-30 17:41:22.572659,TCP,192.168.1.7,11311,192.168.1.9,35766,434
2021-06-30 17:41:22.572678,TCP,192.168.1.9,35766,192.168.1.7,11311,66
2021-06-30 17:41:22.573054,TCP,192.168.1.9,35766,192.168.1.7,11311,66
2021-06-30 17:41:22.573452,TCP,192.168.1.9,35768,192.168.1.7,11311,74
2021-06-30 17:41:22.576092,TCP,192.168.1.7,11311,192.168.1.9,35768,74
2021-06-30 17:41:22.576111,TCP,192.168.1.9,35768,192.168.1.7,11311,66
2021-06-30 17:41:22.576169,TCP,192.168.1.9,35768,192.168.1.7,11311,398
2021-06-30 17:41:22.577554,TCP,192.168.1.7,11311,192.168.1.9,35766,66
2021-06-30 17:41:22.577565,TCP,192.168.1.9,35766,192.168.1.7,11311,66
2021-06-30 17:41:22.579441,TCP,192.168.1.7,11311,192.168.1.9,35768,66
2021-06-30 17:41:22.591840,TCP,192.168.1.7,11311,192.168.1.9,35768,434
2021-06-30 17:41:22.591860,TCP,192.168.1.9,35768,192.168.1.7,11311,66
2021-06-30 17:41:22.592137,TCP,192.168.1.9,35768,192.168.1.7,11311,66
2021-06-30 17:41:22.592412,TCP,192.168.1.9,38256,192.168.1.7,36247,528
2021-06-30 17:41:22.594650,TCP,192.168.1.7,36247,192.168.1.9,38256,66
2021-06-30 17:41:22.598287,TCP,192.168.1.7,22,192.168.1.9,45066,178
2021-06-30 17:41:22.598287,TCP,192.168.1.7,36247,192.168.1.9,38256,430
2021-06-30 17:41:22.598287,TCP,192.168.1.7,11311,192.168.1.9,35768,66
2021-06-30 17:41:22.598303,TCP,192.168.1.9,45066,192.168.1.7,22,66
2021-06-30 17:41:22.598325,TCP,192.168.1.9,38256,192.168.1.7,36247,66
2021-06-30 17:41:22.598332,TCP,192.168.1.9,35768,192.168.1.7,11311,66
2021-06-30 17:41:22.598784,TCP,192.168.1.9,35770,192.168.1.7,11311,74
2021-06-30 17:41:22.600780,TCP,192.168.1.7,11311,192.168.1.9,35770,74
2021-06-30 17:41:22.600809,TCP,192.168.1.9,35770,192.168.1.7,11311,66
2021-06-30 17:41:22.600873,TCP,192.168.1.9,35770,192.168.1.7,11311,457
2021-06-30 17:41:22.604379,TCP,192.168.1.7,11311,192.168.1.9,35770,66
2021-06-30 17:41:22.612394,TCP,192.168.1.7,11311,192.168.1.9,35770,445
2021-06-30 17:41:22.612414,TCP,192.168.1.9,35770,192.168.1.7,11311,66
2021-06-30 17:41:22.612766,TCP,192.168.1.9,35770,192.168.1.7,11311,457
2021-06-30 17:41:22.614551,TCP,192.168.1.7,11311,192.168.1.9,35770,66
2021-06-30 17:41:22.629187,TCP,192.168.1.7,11311,192.168.1.9,35770,490
2021-06-30 17:41:22.629209,TCP,192.168.1.9,35770,192.168.1.7,11311,66
2021-06-30 17:41:22.629985,TCP,192.168.1.9,35770,192.168.1.7,11311,564
2021-06-30 17:41:22.631788,TCP,192.168.1.7,11311,192.168.1.9,35770,66
2021-06-30 17:41:22.642513,TCP,192.168.1.7,11311,192.168.1.9,35770,483
2021-06-30 17:41:22.642550,TCP,192.168.1.9,35770,192.168.1.7,11311,66
2021-06-30 17:41:22.643259,TCP,192.168.1.9,35770,192.168.1.7,11311,66
2021-06-30 17:41:22.644087,TCP,192.168.1.9,35772,192.168.1.7,11311,74
2021-06-30 17:41:22.645823,TCP,192.168.1.7,11311,192.168.1.9,35772,74
