frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-30 17:41:29.082,500,6,2021-06-30 17:41:29.153,72,,2021-06-30 17:41:29.154,1.0
2021-06-30 17:41:29.182,500,7,2021-06-30 17:41:29.241,60,,2021-06-30 17:41:29.243,2.0
2021-06-30 17:41:29.281,500,7,2021-06-30 17:41:29.353,72,,2021-06-30 17:41:29.354,1.0
2021-06-30 17:41:29.382,500,7,2021-06-30 17:41:29.441,59,,2021-06-30 17:41:29.443,2.0
2021-06-30 17:41:29.481,500,7,2021-06-30 17:41:29.553,72,,2021-06-30 17:41:29.554,1.0
2021-06-30 17:41:29.582,500,7,2021-06-30 17:41:29.654,72,,2021-06-30 17:41:29.655,1.0
2021-06-30 17:41:29.681,500,7,2021-06-30 17:41:29.743,62,,2021-06-30 17:41:29.744,1.0
2021-06-30 17:41:29.781,500,7,2021-06-30 17:41:29.855,74,,2021-06-30 17:41:29.856,1.0
2021-06-30 17:41:29.882,500,7,2021-06-30 17:41:29.955,74,,2021-06-30 17:41:29.957,2.0
2021-06-30 17:41:29.981,500,7,2021-06-30 17:41:30.052,71,,2021-06-30 17:41:30.053,1.0
2021-06-30 17:41:30.081,500,7,2021-06-30 17:41:30.150,69,,2021-06-30 17:41:30.151,1.0
2021-06-30 17:41:30.182,500,7,2021-06-30 17:41:30.255,73,,2021-06-30 17:41:30.256,1.0
2021-06-30 17:41:30.282,500,7,2021-06-30 17:41:30.354,73,,2021-06-30 17:41:30.356,2.0
2021-06-30 17:41:30.381,500,11,2021-06-30 17:41:30.457,76,,2021-06-30 17:41:30.458,1.0
2021-06-30 17:41:30.482,500,7,2021-06-30 17:41:30.553,72,,2021-06-30 17:41:30.554,1.0
2021-06-30 17:41:30.581,500,7,2021-06-30 17:41:30.653,72,,2021-06-30 17:41:30.654,1.0
2021-06-30 17:41:30.682,500,7,2021-06-30 17:41:30.755,74,,2021-06-30 17:41:30.757,2.0
2021-06-30 17:41:30.781,500,7,2021-06-30 17:41:30.849,68,,2021-06-30 17:41:30.850,1.0
2021-06-30 17:41:30.881,500,7,2021-06-30 17:41:30.942,61,,2021-06-30 17:41:30.943,1.0
2021-06-30 17:41:30.981,500,7,2021-06-30 17:41:31.045,64,,2021-06-30 17:41:31.046,1.0
2021-06-30 17:41:31.081,500,7,2021-06-30 17:41:31.155,74,,2021-06-30 17:41:31.156,1.0
2021-06-30 17:41:31.181,500,7,2021-06-30 17:41:31.261,80,,2021-06-30 17:41:31.262,1.0
2021-06-30 17:41:31.282,500,8,2021-06-30 17:41:31.363,82,,2021-06-30 17:41:31.364,1.0
2021-06-30 17:41:31.383,500,7,2021-06-30 17:41:31.445,63,,2021-06-30 17:41:31.446,1.0
2021-06-30 17:41:31.482,500,7,2021-06-30 17:41:31.548,67,,2021-06-30 17:41:31.549,1.0
2021-06-30 17:41:31.582,500,7,2021-06-30 17:41:31.654,73,,2021-06-30 17:41:31.655,1.0
2021-06-30 17:41:31.682,500,7,2021-06-30 17:41:31.756,74,,2021-06-30 17:41:31.757,1.0
2021-06-30 17:41:31.782,500,6,2021-06-30 17:41:31.851,70,13.0,2021-06-30 17:41:31.852,1.0
2021-06-30 17:41:31.882,500,7,2021-06-30 17:41:31.955,74,13.0,2021-06-30 17:41:31.957,2.0
2021-06-30 17:41:31.981,500,7,2021-06-30 17:41:32.054,73,13.0,2021-06-30 17:41:32.055,1.0
2021-06-30 17:41:32.081,500,7,2021-06-30 17:41:32.152,71,13.0,2021-06-30 17:41:32.153,1.0
2021-06-30 17:41:32.181,500,8,2021-06-30 17:41:32.255,74,13.0,2021-06-30 17:41:32.256,1.0
2021-06-30 17:41:32.281,500,7,2021-06-30 17:41:32.342,61,13.0,2021-06-30 17:41:32.343,1.0
2021-06-30 17:41:32.382,500,7,2021-06-30 17:41:32.454,72,13.0,2021-06-30 17:41:32.455,1.0
2021-06-30 17:41:32.482,500,7,2021-06-30 17:41:32.555,74,13.0,2021-06-30 17:41:32.556,1.0
2021-06-30 17:41:32.582,500,7,2021-06-30 17:41:32.655,74,13.0,2021-06-30 17:41:32.656,1.0
