goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-30 13:23:49.461,206.511,10.00007,35.419
2021-06-30 13:24:00.714,6.545999999999999,10.599098,34.355999999999995
2021-06-30 13:24:12.363,7.027,7.400243,24.729999999999997
2021-06-30 13:24:20.805,207.211,11.200117,36.672000000000004
2021-06-30 13:24:33.261,205.869,9.400098,31.033
2021-06-30 13:24:43.907,6.51,11.200309,35.181
2021-06-30 13:24:56.159,206.666,10.800158,37.176
2021-06-30 13:25:08.213,205.707,10.201043,35.25
2021-06-30 13:25:19.668,206.867,8.400164,26.969
2021-06-30 13:25:29.313,208.337,11.800311,3.352
2021-06-30 13:25:42.335,205.452,7.400121,27.427
2021-06-30 13:25:50.978,205.63,11.200128,36.242000000000004
