goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-30 20:02:55.402,206.665,7.600372,26.963
2021-06-30 20:03:04.247,206.211,10.600609,37.18
2021-06-30 20:03:16.101,207.60600000000002,8.000155,28.239
2021-06-30 20:03:25.348,207.123,12.400083,5.794
2021-06-30 20:03:38.971,205.762,7.600064,27.174
2021-06-30 20:03:47.814,206.47099999999998,11.00019,3.339
2021-06-30 20:04:00.033,8.058,9.000392,29.55
2021-06-30 20:04:10.082,208.238,10.200052,34.71
2021-06-30 20:04:21.537,207.039,12.80017,6.791
2021-06-30 20:04:35.561,7.861,12.598956,5.183
2021-06-30 20:04:49.183,206.249,7.400151,24.6
2021-06-30 20:04:57.826,205.755,12.400093,7.152
