goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-24 17:37:37.545,205.112,7.000223,23.665
2021-06-24 17:37:45.785,8.266,11.398904,2.83
2021-06-24 17:37:58.206,207.588,7.20014,24.272
2021-06-24 17:38:06.647,206.52,10.600144,34.336
2021-06-24 17:38:18.497,206.038,9.600639,32.323
2021-06-24 17:38:29.346,205.882,12.400046,6.072
2021-06-24 17:38:42.969,206.46,14.000172,8.368
2021-06-24 17:38:58.194,208.058,11.00013,38.812
2021-06-24 17:39:10.451,206.49300000000002,10.000181,2.326
2021-06-24 17:39:21.669,205.926,10.600263,36.811
2021-06-24 17:39:33.522,205.511,7.200028,25.461000000000002
2021-06-24 17:39:41.962,207.204,12.600199,6.597
