frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-24 17:42:25.838,323,6,2021-06-24 17:42:25.879,43,,2021-06-24 17:42:25.880,1.0
2021-06-24 17:42:25.930,318,6,2021-06-24 17:42:25.977,47,,2021-06-24 17:42:25.981,4.0
2021-06-24 17:42:26.025,321,5,2021-06-24 17:42:26.067,42,,2021-06-24 17:42:26.070,3.0
2021-06-24 17:42:26.120,325,6,2021-06-24 17:42:26.162,42,,2021-06-24 17:42:26.166,4.0
2021-06-24 17:42:26.217,327,6,2021-06-24 17:42:26.258,41,,2021-06-24 17:42:26.260,2.0
2021-06-24 17:42:26.316,322,6,2021-06-24 17:42:26.365,49,,2021-06-24 17:42:26.372,7.0
2021-06-24 17:42:26.417,327,5,2021-06-24 17:42:26.457,41,,2021-06-24 17:42:26.460,3.0
2021-06-24 17:42:26.517,324,5,2021-06-24 17:42:26.568,51,,2021-06-24 17:42:26.577,9.0
2021-06-24 17:42:26.617,323,5,2021-06-24 17:42:26.661,45,,2021-06-24 17:42:26.663,2.0
2021-06-24 17:42:26.716,321,6,2021-06-24 17:42:26.765,49,,2021-06-24 17:42:26.767,2.0
2021-06-24 17:42:26.817,322,6,2021-06-24 17:42:26.866,49,,2021-06-24 17:42:26.869,3.0
2021-06-24 17:42:26.917,329,5,2021-06-24 17:42:26.966,50,,2021-06-24 17:42:26.980,14.0
2021-06-24 17:42:27.017,321,5,2021-06-24 17:42:27.063,46,,2021-06-24 17:42:27.065,2.0
2021-06-24 17:42:27.117,326,6,2021-06-24 17:42:27.166,49,,2021-06-24 17:42:27.174,8.0
2021-06-24 17:42:27.217,321,5,2021-06-24 17:42:27.265,49,,2021-06-24 17:42:27.278,13.0
2021-06-24 17:42:27.318,318,5,2021-06-24 17:42:27.366,49,,2021-06-24 17:42:27.376,10.0
2021-06-24 17:42:27.418,325,6,2021-06-24 17:42:27.461,44,,2021-06-24 17:42:27.462,1.0
2021-06-24 17:42:27.517,321,6,2021-06-24 17:42:27.565,48,,2021-06-24 17:42:27.569,4.0
2021-06-24 17:42:27.617,327,6,2021-06-24 17:42:27.666,49,,2021-06-24 17:42:27.676,10.0
2021-06-24 17:42:27.717,330,5,2021-06-24 17:42:27.764,48,,2021-06-24 17:42:27.768,4.0
2021-06-24 17:42:27.817,327,6,2021-06-24 17:42:27.867,50,,2021-06-24 17:42:27.871,4.0
2021-06-24 17:42:27.917,326,6,2021-06-24 17:42:27.966,49,,2021-06-24 17:42:27.971,5.0
2021-06-24 17:42:28.017,332,5,2021-06-24 17:42:28.065,49,,2021-06-24 17:42:28.066,1.0
2021-06-24 17:42:28.116,317,6,2021-06-24 17:42:28.164,48,,2021-06-24 17:42:28.165,1.0
2021-06-24 17:42:28.216,351,6,2021-06-24 17:42:28.260,44,,2021-06-24 17:42:28.261,1.0
2021-06-24 17:42:28.317,398,6,2021-06-24 17:42:28.375,58,,2021-06-24 17:42:28.377,2.0
2021-06-24 17:42:28.417,459,6,2021-06-24 17:42:28.478,62,,2021-06-24 17:42:28.480,2.0
2021-06-24 17:42:28.517,481,6,2021-06-24 17:42:28.577,60,,2021-06-24 17:42:28.580,3.0
2021-06-24 17:42:28.617,492,7,2021-06-24 17:42:28.686,69,,2021-06-24 17:42:28.687,1.0
2021-06-24 17:42:28.717,500,12,2021-06-24 17:42:28.784,67,,2021-06-24 17:42:28.785,1.0
2021-06-24 17:42:28.817,500,7,2021-06-24 17:42:28.893,76,,2021-06-24 17:42:28.894,1.0
2021-06-24 17:42:28.917,500,7,2021-06-24 17:42:28.977,61,,2021-06-24 17:42:28.978,1.0
2021-06-24 17:42:29.017,500,8,2021-06-24 17:42:29.099,82,,2021-06-24 17:42:29.100,1.0
2021-06-24 17:42:29.117,500,7,2021-06-24 17:42:29.182,65,,2021-06-24 17:42:29.183,1.0
2021-06-24 17:42:29.217,500,7,2021-06-24 17:42:29.285,68,,2021-06-24 17:42:29.289,4.0
2021-06-24 17:42:29.317,500,7,2021-06-24 17:42:29.379,62,,2021-06-24 17:42:29.381,2.0
2021-06-24 17:42:29.417,500,7,2021-06-24 17:42:29.484,67,,2021-06-24 17:42:29.485,1.0
2021-06-24 17:42:29.517,500,8,2021-06-24 17:42:29.578,61,,2021-06-24 17:42:29.579,1.0
2021-06-24 17:42:29.617,500,7,2021-06-24 17:42:29.693,76,,2021-06-24 17:42:29.694,1.0
2021-06-24 17:42:29.717,500,7,2021-06-24 17:42:29.782,65,,2021-06-24 17:42:29.783,1.0
2021-06-24 17:42:29.817,500,8,2021-06-24 17:42:29.889,72,,2021-06-24 17:42:29.890,1.0
2021-06-24 17:42:29.917,500,7,2021-06-24 17:42:29.986,70,,2021-06-24 17:42:29.987,1.0
2021-06-24 17:42:30.017,500,7,2021-06-24 17:42:30.086,70,,2021-06-24 17:42:30.086,0.0
2021-06-24 17:42:30.117,500,8,2021-06-24 17:42:30.177,60,,2021-06-24 17:42:30.179,2.0
2021-06-24 17:42:30.217,500,7,2021-06-24 17:42:30.276,60,,2021-06-24 17:42:30.279,3.0
2021-06-24 17:42:30.317,500,7,2021-06-24 17:42:30.377,61,,2021-06-24 17:42:30.380,3.0
2021-06-24 17:42:30.417,500,7,2021-06-24 17:42:30.489,73,,2021-06-24 17:42:30.490,1.0
2021-06-24 17:42:30.517,500,7,2021-06-24 17:42:30.582,65,,2021-06-24 17:42:30.583,1.0
2021-06-24 17:42:30.617,500,8,2021-06-24 17:42:30.692,75,,2021-06-24 17:42:30.696,4.0
2021-06-24 17:42:30.717,500,7,2021-06-24 17:42:30.785,68,,2021-06-24 17:42:30.786,1.0
2021-06-24 17:42:30.817,500,7,2021-06-24 17:42:30.889,72,,2021-06-24 17:42:30.890,1.0
2021-06-24 17:42:30.917,500,8,2021-06-24 17:42:30.981,64,,2021-06-24 17:42:30.982,1.0
2021-06-24 17:42:31.017,500,7,2021-06-24 17:42:31.076,59,,2021-06-24 17:42:31.083,7.0
2021-06-24 17:42:31.117,500,7,2021-06-24 17:42:31.176,59,,2021-06-24 17:42:31.187,11.0
2021-06-24 17:42:31.217,500,7,2021-06-24 17:42:31.279,62,,2021-06-24 17:42:31.280,1.0
2021-06-24 17:42:31.317,500,7,2021-06-24 17:42:31.377,60,,2021-06-24 17:42:31.379,2.0
2021-06-24 17:42:31.417,500,7,2021-06-24 17:42:31.488,71,,2021-06-24 17:42:31.489,1.0
2021-06-24 17:42:31.517,500,7,2021-06-24 17:42:31.578,61,,2021-06-24 17:42:31.580,2.0
2021-06-24 17:42:31.617,500,7,2021-06-24 17:42:31.696,80,,2021-06-24 17:42:31.697,1.0
2021-06-24 17:42:31.717,500,7,2021-06-24 17:42:31.788,72,,2021-06-24 17:42:31.789,1.0
2021-06-24 17:42:31.817,500,7,2021-06-24 17:42:31.889,72,,2021-06-24 17:42:31.889,0.0
2021-06-24 17:42:31.917,500,7,2021-06-24 17:42:31.979,62,,2021-06-24 17:42:31.980,1.0
2021-06-24 17:42:32.017,500,7,2021-06-24 17:42:32.088,72,,2021-06-24 17:42:32.089,1.0
2021-06-24 17:42:32.117,500,6,2021-06-24 17:42:32.188,72,,2021-06-24 17:42:32.189,1.0
2021-06-24 17:42:32.217,500,6,2021-06-24 17:42:32.297,81,,2021-06-24 17:42:32.298,1.0
2021-06-24 17:42:32.317,500,7,2021-06-24 17:42:32.376,59,,2021-06-24 17:42:32.379,3.0
2021-06-24 17:42:32.417,500,7,2021-06-24 17:42:32.477,60,,2021-06-24 17:42:32.477,0.0
2021-06-24 17:42:32.517,500,7,2021-06-24 17:42:32.576,59,,2021-06-24 17:42:32.579,3.0
2021-06-24 17:42:32.617,500,7,2021-06-24 17:42:32.682,65,,2021-06-24 17:42:32.683,1.0
2021-06-24 17:42:32.717,500,7,2021-06-24 17:42:32.776,60,,2021-06-24 17:42:32.778,2.0
2021-06-24 17:42:32.817,500,7,2021-06-24 17:42:32.882,65,,2021-06-24 17:42:32.883,1.0
2021-06-24 17:42:32.917,500,7,2021-06-24 17:42:32.980,64,,2021-06-24 17:42:32.981,1.0
2021-06-24 17:42:33.017,500,7,2021-06-24 17:42:33.079,63,,2021-06-24 17:42:33.081,2.0
2021-06-24 17:42:33.117,500,6,2021-06-24 17:42:33.182,66,,2021-06-24 17:42:33.183,1.0
2021-06-24 17:42:33.218,500,7,2021-06-24 17:42:33.287,70,,2021-06-24 17:42:33.288,1.0
2021-06-24 17:42:33.316,500,8,2021-06-24 17:42:33.388,72,,2021-06-24 17:42:33.389,1.0
2021-06-24 17:42:33.417,500,8,2021-06-24 17:42:33.481,64,,2021-06-24 17:42:33.482,1.0
2021-06-24 17:42:33.517,500,7,2021-06-24 17:42:33.579,62,,2021-06-24 17:42:33.580,1.0
2021-06-24 17:42:33.618,500,6,2021-06-24 17:42:33.677,60,,2021-06-24 17:42:33.678,1.0
2021-06-24 17:42:33.717,500,7,2021-06-24 17:42:33.789,72,,2021-06-24 17:42:33.790,1.0
2021-06-24 17:42:33.817,500,7,2021-06-24 17:42:33.891,74,,2021-06-24 17:42:33.891,0.0
2021-06-24 17:42:33.917,500,7,2021-06-24 17:42:33.976,59,,2021-06-24 17:42:33.978,2.0
2021-06-24 17:42:34.017,500,7,2021-06-24 17:42:34.089,73,,2021-06-24 17:42:34.089,0.0
2021-06-24 17:42:34.117,500,7,2021-06-24 17:42:34.187,70,,2021-06-24 17:42:34.188,1.0
2021-06-24 17:42:34.217,500,7,2021-06-24 17:42:34.283,67,,2021-06-24 17:42:34.283,0.0
2021-06-24 17:42:34.317,500,7,2021-06-24 17:42:34.390,73,13.0,2021-06-24 17:42:34.391,1.0
2021-06-24 17:42:34.418,500,8,2021-06-24 17:42:34.490,73,13.0,2021-06-24 17:42:34.491,1.0
2021-06-24 17:42:34.517,500,8,2021-06-24 17:42:34.590,73,13.0,2021-06-24 17:42:34.591,1.0
2021-06-24 17:42:34.617,500,8,2021-06-24 17:42:34.680,63,13.0,2021-06-24 17:42:34.681,1.0
2021-06-24 17:42:34.717,500,7,2021-06-24 17:42:34.790,73,13.0,2021-06-24 17:42:34.791,1.0
2021-06-24 17:42:34.817,500,7,2021-06-24 17:42:34.880,63,13.0,2021-06-24 17:42:34.881,1.0
2021-06-24 17:42:34.917,500,6,2021-06-24 17:42:34.982,66,13.0,2021-06-24 17:42:34.983,1.0
2021-06-24 17:42:35.017,500,7,2021-06-24 17:42:35.084,67,13.0,2021-06-24 17:42:35.085,1.0
2021-06-24 17:42:35.117,500,7,2021-06-24 17:42:35.178,61,13.0,2021-06-24 17:42:35.184,6.0
2021-06-24 17:42:35.217,500,6,2021-06-24 17:42:35.278,62,13.0,2021-06-24 17:42:35.279,1.0
2021-06-24 17:42:35.318,500,6,2021-06-24 17:42:35.390,73,13.0,2021-06-24 17:42:35.391,1.0
2021-06-24 17:42:35.417,500,7,2021-06-24 17:42:35.487,71,13.0,2021-06-24 17:42:35.488,1.0
2021-06-24 17:42:35.517,500,7,2021-06-24 17:42:35.589,72,13.0,2021-06-24 17:42:35.591,2.0
2021-06-24 17:42:35.617,500,8,2021-06-24 17:42:35.682,65,13.0,2021-06-24 17:42:35.683,1.0
2021-06-24 17:42:35.717,500,7,2021-06-24 17:42:35.784,67,13.0,2021-06-24 17:42:35.785,1.0
2021-06-24 17:42:35.817,500,7,2021-06-24 17:42:35.890,74,13.0,2021-06-24 17:42:35.893,3.0
2021-06-24 17:42:35.917,500,7,2021-06-24 17:42:35.988,72,13.0,2021-06-24 17:42:35.990,2.0
2021-06-24 17:42:36.017,500,7,2021-06-24 17:42:36.078,61,13.0,2021-06-24 17:42:36.079,1.0
