frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-25 15:39:00.224,367,7,2021-06-25 15:39:00.279,56,,2021-06-25 15:39:00.295,16.0
2021-06-25 15:39:00.321,365,6,2021-06-25 15:39:00.368,47,,2021-06-25 15:39:00.370,2.0
2021-06-25 15:39:00.421,366,6,2021-06-25 15:39:00.473,52,,2021-06-25 15:39:00.475,2.0
2021-06-25 15:39:00.522,363,6,2021-06-25 15:39:00.577,55,,2021-06-25 15:39:00.580,3.0
2021-06-25 15:39:00.621,372,6,2021-06-25 15:39:00.677,56,,2021-06-25 15:39:00.685,8.0
2021-06-25 15:39:00.721,369,6,2021-06-25 15:39:00.766,46,,2021-06-25 15:39:00.768,2.0
2021-06-25 15:39:00.821,369,6,2021-06-25 15:39:00.876,56,,2021-06-25 15:39:00.879,3.0
2021-06-25 15:39:00.921,369,6,2021-06-25 15:39:00.966,45,,2021-06-25 15:39:00.967,1.0
2021-06-25 15:39:01.021,369,5,2021-06-25 15:39:01.075,55,,2021-06-25 15:39:01.079,4.0
2021-06-25 15:39:01.121,372,6,2021-06-25 15:39:01.176,55,,2021-06-25 15:39:01.179,3.0
2021-06-25 15:39:01.221,364,6,2021-06-25 15:39:01.275,54,,2021-06-25 15:39:01.279,4.0
2021-06-25 15:39:01.322,366,5,2021-06-25 15:39:01.367,46,,2021-06-25 15:39:01.368,1.0
2021-06-25 15:39:01.422,372,5,2021-06-25 15:39:01.477,56,,2021-06-25 15:39:01.479,2.0
2021-06-25 15:39:01.522,360,5,2021-06-25 15:39:01.576,55,,2021-06-25 15:39:01.585,9.0
2021-06-25 15:39:01.621,368,5,2021-06-25 15:39:01.675,55,,2021-06-25 15:39:01.678,3.0
2021-06-25 15:39:01.721,367,6,2021-06-25 15:39:01.768,47,,2021-06-25 15:39:01.770,2.0
2021-06-25 15:39:01.821,368,6,2021-06-25 15:39:01.875,54,,2021-06-25 15:39:01.877,2.0
2021-06-25 15:39:01.921,359,6,2021-06-25 15:39:01.976,55,,2021-06-25 15:39:01.978,2.0
2021-06-25 15:39:02.021,368,6,2021-06-25 15:39:02.078,58,,2021-06-25 15:39:02.087,9.0
2021-06-25 15:39:02.122,371,6,2021-06-25 15:39:02.178,57,,2021-06-25 15:39:02.190,12.0
2021-06-25 15:39:02.223,365,5,2021-06-25 15:39:02.278,57,,2021-06-25 15:39:02.281,3.0
2021-06-25 15:39:02.321,358,6,2021-06-25 15:39:02.375,54,,2021-06-25 15:39:02.378,3.0
2021-06-25 15:39:02.421,369,6,2021-06-25 15:39:02.468,47,,2021-06-25 15:39:02.469,1.0
2021-06-25 15:39:02.521,360,6,2021-06-25 15:39:02.568,47,,2021-06-25 15:39:02.569,1.0
2021-06-25 15:39:02.621,360,6,2021-06-25 15:39:02.671,50,,2021-06-25 15:39:02.672,1.0
2021-06-25 15:39:02.722,367,5,2021-06-25 15:39:02.768,47,,2021-06-25 15:39:02.769,1.0
2021-06-25 15:39:02.822,362,5,2021-06-25 15:39:02.875,53,,2021-06-25 15:39:02.887,12.0
2021-06-25 15:39:02.922,369,5,2021-06-25 15:39:02.980,59,,2021-06-25 15:39:02.993,13.0
2021-06-25 15:39:03.021,364,6,2021-06-25 15:39:03.076,55,,2021-06-25 15:39:03.093,17.0
2021-06-25 15:39:03.121,370,6,2021-06-25 15:39:03.175,54,,2021-06-25 15:39:03.181,6.0
2021-06-25 15:39:03.221,363,6,2021-06-25 15:39:03.265,45,,2021-06-25 15:39:03.268,3.0
2021-06-25 15:39:03.321,361,6,2021-06-25 15:39:03.365,44,,2021-06-25 15:39:03.367,2.0
2021-06-25 15:39:03.421,367,6,2021-06-25 15:39:03.466,46,,2021-06-25 15:39:03.476,10.0
2021-06-25 15:39:03.522,364,5,2021-06-25 15:39:03.576,55,,2021-06-25 15:39:03.590,14.0
2021-06-25 15:39:03.621,355,6,2021-06-25 15:39:03.675,54,,2021-06-25 15:39:03.679,4.0
