timestamp,power_mW
2021-06-30 20:35:32.089,27198.0
2021-06-30 20:35:32.127,25592.0
2021-06-30 20:35:32.129,24406.0
2021-06-30 20:35:32.130,24062.0
2021-06-30 20:35:32.132,23620.0
2021-06-30 20:35:32.134,24590.0
2021-06-30 20:35:32.135,25432.0
2021-06-30 20:35:32.137,24474.0
2021-06-30 20:35:32.138,23976.0
2021-06-30 20:35:32.139,24750.0
2021-06-30 20:35:32.141,24546.0
2021-06-30 20:35:32.144,24160.0
2021-06-30 20:35:32.149,24112.0
2021-06-30 20:35:32.154,22552.0
2021-06-30 20:35:32.159,23518.0
2021-06-30 20:35:32.164,24658.0
2021-06-30 20:35:32.169,26336.0
2021-06-30 20:35:32.175,26638.0
2021-06-30 20:35:32.179,25448.0
2021-06-30 20:35:32.184,23830.0
2021-06-30 20:35:32.189,24006.0
2021-06-30 20:35:32.194,24226.0
2021-06-30 20:35:32.199,24406.0
2021-06-30 20:35:32.204,23040.0
2021-06-30 20:35:32.209,24108.0
2021-06-30 20:35:32.214,24340.0
2021-06-30 20:35:32.219,23322.0
2021-06-30 20:35:32.224,24570.0
2021-06-30 20:35:32.229,24770.0
2021-06-30 20:35:32.234,23322.0
2021-06-30 20:35:32.239,25580.0
2021-06-30 20:35:32.244,25290.0
2021-06-30 20:35:32.249,23846.0
2021-06-30 20:35:32.254,23098.0
2021-06-30 20:35:32.260,24212.0
2021-06-30 20:35:32.264,26296.0
2021-06-30 20:35:32.269,25036.0
2021-06-30 20:35:32.274,24488.0
2021-06-30 20:35:32.279,24730.0
2021-06-30 20:35:32.284,24098.0
2021-06-30 20:35:32.289,25244.0
2021-06-30 20:35:32.294,24826.0
2021-06-30 20:35:32.299,25880.0
2021-06-30 20:35:32.304,25136.0
2021-06-30 20:35:32.309,24170.0
2021-06-30 20:35:32.314,24586.0
2021-06-30 20:35:32.319,24092.0
2021-06-30 20:35:32.324,23232.0
2021-06-30 20:35:32.329,26496.0
2021-06-30 20:35:32.334,23668.0
2021-06-30 20:35:32.339,24658.0
2021-06-30 20:35:32.345,23184.0
2021-06-30 20:35:32.349,25078.0
2021-06-30 20:35:32.354,23538.0
2021-06-30 20:35:32.359,25078.0
2021-06-30 20:35:32.364,24714.0
2021-06-30 20:35:32.369,23504.0
2021-06-30 20:35:32.374,25632.0
2021-06-30 20:35:32.379,26146.0
2021-06-30 20:35:32.384,24976.0
2021-06-30 20:35:32.389,24610.0
2021-06-30 20:35:32.394,24846.0
2021-06-30 20:35:32.399,25176.0
2021-06-30 20:35:32.404,23416.0
2021-06-30 20:35:32.409,24066.0
2021-06-30 20:35:32.414,23472.0
2021-06-30 20:35:32.419,23848.0
2021-06-30 20:35:32.424,24610.0
2021-06-30 20:35:32.429,25422.0
2021-06-30 20:35:32.434,24970.0
2021-06-30 20:35:32.439,25324.0
2021-06-30 20:35:32.444,23114.0
2021-06-30 20:35:32.449,23178.0
2021-06-30 20:35:32.454,24890.0
2021-06-30 20:35:32.459,23256.0
2021-06-30 20:35:32.464,24492.0
2021-06-30 20:35:32.469,25508.0
2021-06-30 20:35:32.474,25782.0
2021-06-30 20:35:32.479,26106.0
2021-06-30 20:35:32.484,24350.0
2021-06-30 20:35:32.489,25098.0
2021-06-30 20:35:32.494,24852.0
2021-06-30 20:35:32.499,23730.0
2021-06-30 20:35:32.504,25566.0
2021-06-30 20:35:32.509,25550.0
2021-06-30 20:35:32.514,25248.0
2021-06-30 20:35:32.519,24502.0
2021-06-30 20:35:32.524,25380.0
2021-06-30 20:35:32.529,26520.0
2021-06-30 20:35:32.534,25320.0
2021-06-30 20:35:32.539,24364.0
2021-06-30 20:35:32.544,23348.0
2021-06-30 20:35:32.549,25268.0
2021-06-30 20:35:32.554,23836.0
2021-06-30 20:35:32.559,24446.0
2021-06-30 20:35:32.564,23584.0
2021-06-30 20:35:32.569,25216.0
2021-06-30 20:35:32.574,25596.0
2021-06-30 20:35:32.579,25544.0
2021-06-30 20:35:32.584,24334.0
2021-06-30 20:35:32.589,25936.0
2021-06-30 20:35:32.594,25012.0
2021-06-30 20:35:32.599,24360.0
2021-06-30 20:35:32.604,23768.0
2021-06-30 20:35:32.609,24554.0
2021-06-30 20:35:32.614,25244.0
2021-06-30 20:35:32.619,24272.0
2021-06-30 20:35:32.624,25094.0
2021-06-30 20:35:32.629,24258.0
2021-06-30 20:35:32.634,24166.0
2021-06-30 20:35:32.639,25172.0
2021-06-30 20:35:32.644,23630.0
2021-06-30 20:35:32.649,25560.0
2021-06-30 20:35:32.654,24428.0
2021-06-30 20:35:32.659,23318.0
2021-06-30 20:35:32.664,23784.0
2021-06-30 20:35:32.669,25028.0
2021-06-30 20:35:32.674,24520.0
2021-06-30 20:35:32.679,26368.0
2021-06-30 20:35:32.684,25278.0
2021-06-30 20:35:32.689,27138.0
2021-06-30 20:35:32.694,23498.0
2021-06-30 20:35:32.699,23406.0
2021-06-30 20:35:32.704,23314.0
2021-06-30 20:35:32.709,24832.0
2021-06-30 20:35:32.714,23092.0
2021-06-30 20:35:32.719,25392.0
2021-06-30 20:35:32.724,23594.0
2021-06-30 20:35:32.729,28036.0
2021-06-30 20:35:32.734,23168.0
2021-06-30 20:35:32.739,25284.0
2021-06-30 20:35:32.744,24848.0
2021-06-30 20:35:32.749,23616.0
2021-06-30 20:35:32.754,26468.0
2021-06-30 20:35:32.759,25786.0
2021-06-30 20:35:32.764,25860.0
2021-06-30 20:35:32.769,28840.0
2021-06-30 20:35:32.774,27872.0
2021-06-30 20:35:32.779,27702.0
2021-06-30 20:35:32.784,23446.0
2021-06-30 20:35:32.789,27048.0
2021-06-30 20:35:32.794,23784.0
2021-06-30 20:35:32.799,24734.0
2021-06-30 20:35:32.804,24356.0
2021-06-30 20:35:32.809,23868.0
2021-06-30 20:35:32.815,23066.0
2021-06-30 20:35:32.819,24810.0
2021-06-30 20:35:32.824,24986.0
2021-06-30 20:35:32.829,24544.0
2021-06-30 20:35:32.834,25366.0
2021-06-30 20:35:32.839,26258.0
2021-06-30 20:35:32.844,24842.0
2021-06-30 20:35:32.849,24432.0
2021-06-30 20:35:32.854,25536.0
2021-06-30 20:35:32.859,23930.0
2021-06-30 20:35:32.864,25002.0
2021-06-30 20:35:32.869,24518.0
2021-06-30 20:35:32.874,25894.0
2021-06-30 20:35:32.879,26018.0
2021-06-30 20:35:32.884,24284.0
2021-06-30 20:35:32.889,26470.0
2021-06-30 20:35:32.894,23534.0
2021-06-30 20:35:32.900,24220.0
2021-06-30 20:35:32.904,24592.0
2021-06-30 20:35:32.909,24330.0
2021-06-30 20:35:32.914,23252.0
2021-06-30 20:35:32.919,24764.0
2021-06-30 20:35:32.924,24766.0
2021-06-30 20:35:32.929,24226.0
2021-06-30 20:35:32.934,25382.0
2021-06-30 20:35:32.939,23986.0
2021-06-30 20:35:32.944,24848.0
2021-06-30 20:35:32.949,24164.0
2021-06-30 20:35:32.954,22810.0
2021-06-30 20:35:32.959,25788.0
2021-06-30 20:35:32.964,26428.0
2021-06-30 20:35:32.969,25704.0
2021-06-30 20:35:32.974,28312.0
2021-06-30 20:35:32.979,26454.0
2021-06-30 20:35:32.985,28200.0
2021-06-30 20:35:32.989,28662.0
2021-06-30 20:35:32.994,26870.0
2021-06-30 20:35:32.999,26910.0
2021-06-30 20:35:33.004,23420.0
2021-06-30 20:35:33.009,26992.0
2021-06-30 20:35:33.014,27342.0
2021-06-30 20:35:33.019,27424.0
2021-06-30 20:35:33.024,28106.0
2021-06-30 20:35:33.029,26900.0
2021-06-30 20:35:33.034,27320.0
2021-06-30 20:35:33.039,27008.0
2021-06-30 20:35:33.044,25598.0
2021-06-30 20:35:33.049,25996.0
2021-06-30 20:35:33.054,28132.0
2021-06-30 20:35:33.059,26150.0
2021-06-30 20:35:33.064,25648.0
2021-06-30 20:35:33.069,27358.0
2021-06-30 20:35:33.074,26962.0
2021-06-30 20:35:33.079,25766.0
2021-06-30 20:35:33.084,25628.0
2021-06-30 20:35:33.089,28424.0
2021-06-30 20:35:33.094,26822.0
2021-06-30 20:35:33.099,25484.0
2021-06-30 20:35:33.104,25950.0
2021-06-30 20:35:33.109,25884.0
2021-06-30 20:35:33.114,25402.0
2021-06-30 20:35:33.119,26480.0
2021-06-30 20:35:33.124,27536.0
2021-06-30 20:35:33.129,25806.0
2021-06-30 20:35:33.134,25290.0
2021-06-30 20:35:33.139,27870.0
2021-06-30 20:35:33.144,26320.0
2021-06-30 20:35:33.149,25432.0
2021-06-30 20:35:33.154,26568.0
2021-06-30 20:35:33.159,24530.0
2021-06-30 20:35:33.164,26516.0
2021-06-30 20:35:33.169,25100.0
2021-06-30 20:35:33.174,26540.0
2021-06-30 20:35:33.179,27358.0
2021-06-30 20:35:33.184,25392.0
2021-06-30 20:35:33.189,27578.0
2021-06-30 20:35:33.194,27060.0
2021-06-30 20:35:33.199,26356.0
2021-06-30 20:35:33.204,26150.0
2021-06-30 20:35:33.209,26860.0
2021-06-30 20:35:33.214,25888.0
2021-06-30 20:35:33.219,27402.0
2021-06-30 20:35:33.224,26278.0
2021-06-30 20:35:33.229,27178.0
2021-06-30 20:35:33.234,27342.0
2021-06-30 20:35:33.239,27916.0
2021-06-30 20:35:33.244,27882.0
2021-06-30 20:35:33.249,26890.0
2021-06-30 20:35:33.254,26464.0
2021-06-30 20:35:33.259,25704.0
2021-06-30 20:35:33.264,25336.0
2021-06-30 20:35:33.269,28132.0
2021-06-30 20:35:33.274,27512.0
2021-06-30 20:35:33.279,25962.0
2021-06-30 20:35:33.284,26840.0
2021-06-30 20:35:33.289,26758.0
2021-06-30 20:35:33.294,28266.0
2021-06-30 20:35:33.299,25832.0
2021-06-30 20:35:33.304,25828.0
2021-06-30 20:35:33.309,26706.0
2021-06-30 20:35:33.314,24842.0
2021-06-30 20:35:33.319,25448.0
2021-06-30 20:35:33.324,27084.0
2021-06-30 20:35:33.329,26922.0
2021-06-30 20:35:33.334,25484.0
2021-06-30 20:35:33.339,25130.0
2021-06-30 20:35:33.344,27610.0
2021-06-30 20:35:33.349,26884.0
2021-06-30 20:35:33.354,25906.0
2021-06-30 20:35:33.359,24688.0
2021-06-30 20:35:33.364,26402.0
2021-06-30 20:35:33.369,26638.0
2021-06-30 20:35:33.374,26696.0
2021-06-30 20:35:33.379,27368.0
2021-06-30 20:35:33.384,26048.0
2021-06-30 20:35:33.389,27254.0
2021-06-30 20:35:33.394,27286.0
2021-06-30 20:35:33.399,25868.0
2021-06-30 20:35:33.404,25556.0
2021-06-30 20:35:33.409,26592.0
2021-06-30 20:35:33.414,26012.0
2021-06-30 20:35:33.419,26578.0
2021-06-30 20:35:33.424,25870.0
2021-06-30 20:35:33.429,28000.0
2021-06-30 20:35:33.434,25688.0
2021-06-30 20:35:33.439,27156.0
2021-06-30 20:35:33.444,26146.0
2021-06-30 20:35:33.449,25864.0
2021-06-30 20:35:33.455,25278.0
2021-06-30 20:35:33.459,25058.0
2021-06-30 20:35:33.464,26458.0
2021-06-30 20:35:33.469,26080.0
2021-06-30 20:35:33.474,29576.0
2021-06-30 20:35:33.479,25740.0
2021-06-30 20:35:33.484,27102.0
2021-06-30 20:35:33.489,27276.0
2021-06-30 20:35:33.494,27636.0
2021-06-30 20:35:33.499,25550.0
2021-06-30 20:35:33.504,26802.0
2021-06-30 20:35:33.509,26296.0
2021-06-30 20:35:33.514,25136.0
2021-06-30 20:35:33.519,26992.0
2021-06-30 20:35:33.524,26254.0
2021-06-30 20:35:33.529,26648.0
2021-06-30 20:35:33.534,25324.0
2021-06-30 20:35:33.540,25760.0
2021-06-30 20:35:33.544,26834.0
2021-06-30 20:35:33.549,25890.0
2021-06-30 20:35:33.554,25550.0
2021-06-30 20:35:33.559,25828.0
2021-06-30 20:35:33.564,25326.0
2021-06-30 20:35:33.569,26568.0
2021-06-30 20:35:33.574,26712.0
2021-06-30 20:35:33.579,25232.0
2021-06-30 20:35:33.584,27916.0
2021-06-30 20:35:33.589,27712.0
2021-06-30 20:35:33.594,26752.0
2021-06-30 20:35:33.599,27640.0
2021-06-30 20:35:33.604,25228.0
2021-06-30 20:35:33.609,25442.0
2021-06-30 20:35:33.614,26822.0
2021-06-30 20:35:33.619,25136.0
2021-06-30 20:35:33.625,27048.0
2021-06-30 20:35:33.629,27214.0
2021-06-30 20:35:33.634,27820.0
2021-06-30 20:35:33.639,27194.0
2021-06-30 20:35:33.644,25432.0
2021-06-30 20:35:33.649,27918.0
2021-06-30 20:35:33.654,26182.0
2021-06-30 20:35:33.659,25962.0
2021-06-30 20:35:33.664,26104.0
2021-06-30 20:35:33.669,27486.0
2021-06-30 20:35:33.674,27398.0
2021-06-30 20:35:33.679,28650.0
2021-06-30 20:35:33.684,27746.0
2021-06-30 20:35:33.689,27204.0
2021-06-30 20:35:33.694,28508.0
2021-06-30 20:35:33.699,27718.0
2021-06-30 20:35:33.704,27722.0
2021-06-30 20:35:33.709,27818.0
2021-06-30 20:35:33.714,27392.0
2021-06-30 20:35:33.719,26296.0
2021-06-30 20:35:33.724,26166.0
2021-06-30 20:35:33.729,28190.0
2021-06-30 20:35:33.734,25966.0
2021-06-30 20:35:33.739,27480.0
2021-06-30 20:35:33.744,25770.0
2021-06-30 20:35:33.749,26602.0
2021-06-30 20:35:33.754,24908.0
2021-06-30 20:35:33.759,25950.0
2021-06-30 20:35:33.764,27300.0
2021-06-30 20:35:33.769,24832.0
2021-06-30 20:35:33.774,27142.0
2021-06-30 20:35:33.779,26824.0
2021-06-30 20:35:33.784,27434.0
2021-06-30 20:35:33.789,26068.0
2021-06-30 20:35:33.794,26058.0
2021-06-30 20:35:33.799,25272.0
2021-06-30 20:35:33.804,26248.0
2021-06-30 20:35:33.809,26886.0
2021-06-30 20:35:33.814,25606.0
2021-06-30 20:35:33.819,26402.0
2021-06-30 20:35:33.824,27292.0
2021-06-30 20:35:33.829,26408.0
2021-06-30 20:35:33.834,27666.0
2021-06-30 20:35:33.839,25828.0
2021-06-30 20:35:33.844,28112.0
2021-06-30 20:35:33.849,26360.0
2021-06-30 20:35:33.854,26834.0
2021-06-30 20:35:33.859,25936.0
2021-06-30 20:35:33.864,26532.0
2021-06-30 20:35:33.869,26350.0
2021-06-30 20:35:33.874,29088.0
2021-06-30 20:35:33.879,25924.0
2021-06-30 20:35:33.884,26706.0
2021-06-30 20:35:33.889,27808.0
2021-06-30 20:35:33.894,26732.0
2021-06-30 20:35:33.899,26054.0
2021-06-30 20:35:33.904,25136.0
2021-06-30 20:35:33.909,27254.0
2021-06-30 20:35:33.914,27618.0
2021-06-30 20:35:33.919,25704.0
2021-06-30 20:35:33.924,25788.0
2021-06-30 20:35:33.929,27568.0
2021-06-30 20:35:33.934,27126.0
2021-06-30 20:35:33.939,27636.0
2021-06-30 20:35:33.944,26090.0
2021-06-30 20:35:33.949,25114.0
2021-06-30 20:35:33.954,24796.0
2021-06-30 20:35:33.959,26946.0
2021-06-30 20:35:33.964,24682.0
2021-06-30 20:35:33.969,25192.0
2021-06-30 20:35:33.974,26048.0
2021-06-30 20:35:33.979,27746.0
2021-06-30 20:35:33.984,26346.0
