__run_id,__done,sim_period,repetition,mission_execution_s,avg_extraction_time_ms,avg_detection_time_ms,avg_detection_result_delay_ms,recognition_ratio,avg_goal_sending_delay_ms,avg_goal_processing_s,avg_nav_result_delay_ms,num_of_packets,size_of_packets,avg_cpu_util,avg_memory_util,energy_J
run_1,DONE,3,1,183.5774781703949,5.63536866359447,59.672811059907836,3.1370967741935485,40.95622119815668,173.29491666666664,13.033477666666665,10.644083333333333,54685,434532596,30.0117297718976,878213232.9167567,5329.155467003822
run_2,DONE,1.5,1,139.98067474365234,5.666409861325116,60.205701078582436,3.62788906009245,39.13713405238829,207.44916666666668,9.31686375,25.520416666666666,44400,325069236,30.517609691350092,875692304.2942009,4155.604772988081
run_3,DONE,1.5,2,140.9014892578125,5.803053435114504,60.692366412213744,2.4190839694656487,35.49618320610687,190.3684166666667,9.450140666666668,25.90758333333334,42374,316811560,30.427464822984078,875860579.5154929,4170.1238464069365
run_4,DONE,3,2,181.9484794139862,5.741559953434225,60.973806752037255,3.247380675203725,40.33760186263097,206.45591666666667,12.883650833333334,19.559916666666666,52905,419633124,30.925204605335626,878305282.2345881,5289.856450124979
run_5,DONE,1.5,3,147.97029948234558,5.595497458242556,59.265795206971674,3.103848946986202,40.95860566448802,206.27791666666667,10.0502325,18.90625,54499,333471409,30.68808576987291,876300383.957162,4378.962824766398
run_6,DONE,1.5,4,138.54708790779114,5.864801864801865,62.10411810411811,3.4071484071484073,36.05283605283605,189.61308333333338,9.233644749999998,17.492166666666666,39636,305521295,31.469555854114216,876150452.4469914,4110.551487449884
run_7,DONE,1.5,5,143.9996657371521,5.707680835197614,60.18791946308725,3.527964205816555,39.97017151379568,172.98100000000002,9.700015083333334,23.75391666666667,51365,323600037,31.10929113441882,876442583.8293186,4268.823998981714
run_8,DONE,3,3,201.7035756111145,5.633281168492436,58.89149713093375,3.3547209181012,42.25352112676056,190.24200000000005,14.53348375,19.940916666666666,62291,484643735,30.168719311418204,879688368.0472907,5878.1091064109805
run_9,DONE,3,4,194.45061469078064,5.816702819956616,61.571583514099785,3.1963123644251628,42.13665943600868,190.03408333333334,13.899867999999998,24.931250000000006,56203,443089957,29.597600888207957,878483197.7784584,5654.127789865255
run_10,DONE,1.5,6,145.5078673362732,5.947524020694752,63.300073909830004,2.532150776053215,39.09830007390983,190.4635833333333,9.85015225,24.05083333333333,41101,316148823,30.547749006081407,876287332.2346522,4297.277601603269
run_11,DONE,1.5,7,142.95704221725464,5.779533483822423,61.410835214446955,2.212942061700527,39.879608728367195,173.08833333333334,9.65008225,23.41275,44401,321033215,30.65586404515835,876594277.6183206,4234.463230205298
run_12,DONE,3,5,181.44684076309204,5.658493870402802,59.62463514302394,2.793928779918272,37.3029772329247,156.532,12.866773416666668,26.694583333333338,59426,408980708,29.68310556469099,877943716.7413887,5298.191516654491
run_13,DONE,1.5,8,147.03604793548584,5.6540145985401455,59.128467153284674,3.103649635036496,41.386861313868614,190.40633333333335,9.966724166666665,21.452833333333334,39260,278395913,31.310661344232187,876558767.1578947,4345.061359017133
run_14,DONE,3,6,195.0430588722229,5.83829096809086,61.52082206598161,2.9232017306652245,39.805300162249864,173.19391666666664,13.93335675,17.282666666666668,55257,438070000,30.74368639050579,878660174.2077394,5670.134671073199
run_15,DONE,3,7,176.46582674980164,5.598798798798799,59.224024024024025,2.66006006006006,41.26126126126126,190.04233333333335,12.41683675,21.20425,53788,420630051,30.416554112155158,878299451.963964,5128.910061916828
run_16,DONE,3,8,196.03998565673828,5.616666666666666,59.18655913978495,2.552688172043011,39.03225806451613,206.38675,13.98355766666667,20.80558333333333,62461,473399497,30.073606942803906,879021081.9371834,5704.807395387173
run_17,DONE,3,9,187.08128428459167,5.984171848501979,62.47258338044093,2.8298473713962693,40.87054833239118,206.05983333333333,13.283627416666667,18.062749999999998,51423,409120348,29.676127365476574,878557237.2371353,5447.823080309868
run_18,DONE,1.5,9,147.44817519187927,5.690962099125365,61.224489795918366,3.433673469387755,44.75218658892128,190.18825,10.000168333333333,25.060083333333335,46749,339625014,30.598318803526848,876268127.3759247,4354.18347072649
run_19,DONE,3,10,179.40531611442566,5.701889020070838,60.16174734356552,3.510035419126328,39.02007083825266,173.07741666666666,12.666808166666664,16.114416666666667,52932,419700126,30.534773044543936,878430892.9346622,5215.2832249424455
run_20,DONE,1.5,10,150.53515338897705,5.8125,63.97159090909091,2.4360795454545454,43.96306818181818,189.72458333333336,10.25021625,23.1425,44851,324575136,31.535728464019716,877674093.690178,4459.450219758511
