__run_id,__done,resolution,repetition,mission_execution_s,avg_extraction_time_ms,avg_detection_time_ms,avg_detection_result_delay_ms,recognition_ratio,avg_goal_sending_delay_ms,avg_goal_processing_s,avg_nav_result_delay_ms,num_of_packets,size_of_packets,avg_cpu_util,avg_memory_util,energy_J
run_1,DONE,640x480,1,155.75076341629028,5.382554945054945,56.04052197802198,2.754120879120879,41.277472527472526,189.99541666666667,10.716813583333334,15.441,59715,395110237,31.164267593432385,875206309.0140127,4620.172716078043
run_2,DONE,640x480,2,139.2725636959076,5.4439288476411445,57.38360402165507,3.0657385924207268,35.03480278422274,173.32441666666668,9.366867249999999,28.475000000000005,48753,349571697,30.001211738042635,874405499.7120457,4149.774016609907
run_3,DONE,1280x960,1,151.6363525390625,15.1169757489301,67.43865905848787,29.437945791726104,43.081312410841655,207.75249999999997,10.167331166666667,18.583,33056,361293526,41.495153963604864,882110142.113949,4905.103786733627
run_4,DONE,640x480,3,140.89753699302673,5.427043544690603,56.93659281894576,3.99083269671505,35.59969442322384,206.1446666666666,9.466731833333334,24.623499999999996,49297,355513771,30.75017599418581,874851028.9429979,4218.77736400938
run_5,DONE,640x480,4,140.59089994430542,5.522205206738132,57.60030627871363,3.1064318529862174,37.44257274119448,206.48608333333334,9.433450749999999,25.31316666666667,48821,349626861,31.550741077899595,875317431.5539873,4196.9342089715
run_6,DONE,1280x960,2,145.10072374343872,14.956651718983558,66.2339312406577,37.99626307922272,40.80717488789238,177.81574999999998,9.682912083333333,23.105499999999996,36334,352472271,41.40191658093128,881715097.670089,4700.653301252127
run_7,DONE,1280x960,3,150.31547141075134,14.897270114942529,66.01149425287356,41.77801724137931,47.98850574712644,175.64391666666666,10.1171565,14.449583333333331,38686,368489269,41.43916780819509,882530671.9365919,4867.858211378574
run_8,DONE,1280x960,4,146.72726488113403,14.750184774575018,65.10938654841094,36.5890613451589,47.671840354767184,174.82208333333332,9.783764,15.247250000000001,36042,362571402,41.56332887783747,882169085.5751015,4761.5558612794875
run_9,DONE,640x480,5,149.53136539459229,5.3183118741058655,55.76323319027182,3.044349070100143,39.27038626609442,206.12333333333333,10.200240333333333,25.803,53619,384056428,30.56584886467425,875868328.403183,4454.195812840939
run_10,DONE,1280x960,5,153.02956986427307,14.83722576079264,65.92639773531494,33.367303609341825,37.367303609341825,191.07049999999995,10.283552666666667,13.793500000000002,37217,376187284,41.42684830085467,882166270.0077821,4952.093627766848
run_11,DONE,1280x960,6,154.10392498970032,14.986638537271448,65.9676511954993,34.17229254571027,38.25597749648382,207.0105,10.4003565,17.633,37396,375953925,41.75570604987178,882523581.647969,4992.389559883833
run_12,DONE,1280x960,7,148.7754340171814,14.783369803063458,65.2618526622903,39.51714077315828,40.33552151714077,191.35300000000004,9.933634083333333,19.09625,38541,368684732,41.18704950920889,882437608.0747664,4824.6372501049045
run_13,DONE,1280x960,8,150.98678541183472,14.622222222222222,64.95698924731182,46.15698924731183,40.07168458781362,193.26141666666663,10.083686916666666,21.885,42989,378753718,41.507105290262324,882481211.2842106,4871.482472972393
run_14,DONE,1280x960,9,146.361314535141,14.783964365256125,65.61841128433556,33.99628804751299,40.905716406829995,209.65391666666667,9.71716575,18.597,36689,360053835,41.35396615691104,881929826.2345762,4739.887606534719
run_15,DONE,640x480,6,148.27670097351074,5.336705202312139,55.445809248554916,4.085260115606936,33.74277456647399,206.20108333333337,10.08350625,22.542666666666666,54471,381405642,31.25210991020739,876125851.3489618,4423.500129832029
run_16,DONE,640x480,7,142.13435077667236,5.464447806354009,56.50756429652042,3.5635400907715584,34.8714069591528,189.4154166666667,9.600140333333334,14.527583333333334,53770,352547232,31.002721628107896,875278158.7829728,4245.140542540788
run_17,DONE,640x480,8,149.56518578529358,5.2569992821249105,55.96123474515434,3.3295046661880834,36.39626704953338,190.05383333333336,10.200050166666665,16.729333333333333,54458,386244138,30.31142104922696,876451135.5750332,4437.592589032888
run_18,DONE,640x480,9,144.68683648109436,5.428252788104089,56.226765799256505,3.2014869888475834,36.28252788104089,174.04291666666666,9.800069749999999,23.13733333333333,44656,321790754,30.59081567028273,875878623.1884853,4305.968424749851
run_19,DONE,640x480,10,146.93991208076477,5.437956204379562,56.63284671532847,2.399270072992701,37.66423357664234,156.52775,9.966821666666666,30.31725,52184,368862957,30.551756818874463,876288487.0918919,4369.959198268413
run_20,DONE,1280x960,10,148.02996230125427,14.851251840942563,66.19440353460972,38.8740795287187,38.58615611192931,175.92533333333333,9.916660166666666,17.081166666666668,37911,364671831,41.84191822446008,882537351.8122066,4797.7408637199405
