frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-25 15:20:59.064,370,34,2021-06-25 15:20:59.186,129,,2021-06-25 15:20:59.193,7.0
2021-06-25 15:20:59.203,372,32,2021-06-25 15:20:59.346,144,,2021-06-25 15:20:59.346,0.0
2021-06-25 15:20:59.359,371,32,2021-06-25 15:20:59.477,120,,2021-06-25 15:20:59.478,1.0
2021-06-25 15:20:59.490,365,30,2021-06-25 15:20:59.588,99,,2021-06-25 15:20:59.588,0.0
2021-06-25 15:20:59.600,364,32,2021-06-25 15:20:59.699,101,,2021-06-25 15:20:59.700,1.0
2021-06-25 15:20:59.713,370,30,2021-06-25 15:20:59.810,98,,2021-06-25 15:20:59.811,1.0
2021-06-25 15:20:59.823,368,29,2021-06-25 15:20:59.934,113,,2021-06-25 15:20:59.935,1.0
2021-06-25 15:20:59.947,410,31,2021-06-25 15:21:00.049,104,,2021-06-25 15:21:00.050,1.0
2021-06-25 15:21:00.062,456,32,2021-06-25 15:21:00.188,128,,2021-06-25 15:21:00.189,1.0
2021-06-25 15:21:00.200,482,35,2021-06-25 15:21:00.326,127,,2021-06-25 15:21:00.327,1.0
2021-06-25 15:21:00.339,495,33,2021-06-25 15:21:00.462,124,,2021-06-25 15:21:00.462,0.0
2021-06-25 15:21:00.476,500,34,2021-06-25 15:21:00.648,175,,2021-06-25 15:21:00.649,1.0
2021-06-25 15:21:00.662,500,40,2021-06-25 15:21:00.789,128,,2021-06-25 15:21:00.790,1.0
2021-06-25 15:21:00.802,500,39,2021-06-25 15:21:00.945,144,,2021-06-25 15:21:00.946,1.0
2021-06-25 15:21:00.959,500,41,2021-06-25 15:21:01.128,170,,2021-06-25 15:21:01.129,1.0
2021-06-25 15:21:01.142,500,45,2021-06-25 15:21:01.277,137,,2021-06-25 15:21:01.278,1.0
2021-06-25 15:21:01.290,500,40,2021-06-25 15:21:01.445,157,,2021-06-25 15:21:01.446,1.0
2021-06-25 15:21:01.461,500,44,2021-06-25 15:21:01.608,151,,2021-06-25 15:21:01.609,1.0
2021-06-25 15:21:01.622,500,39,2021-06-25 15:21:01.756,135,,2021-06-25 15:21:01.757,1.0
2021-06-25 15:21:01.770,500,38,2021-06-25 15:21:01.901,132,,2021-06-25 15:21:01.902,1.0
2021-06-25 15:21:01.915,500,38,2021-06-25 15:21:02.044,131,,2021-06-25 15:21:02.045,1.0
2021-06-25 15:21:02.057,500,37,2021-06-25 15:21:02.216,161,,2021-06-25 15:21:02.218,2.0
2021-06-25 15:21:02.230,500,38,2021-06-25 15:21:02.380,152,,2021-06-25 15:21:02.381,1.0
2021-06-25 15:21:02.392,500,39,2021-06-25 15:21:02.528,137,,2021-06-25 15:21:02.529,1.0
2021-06-25 15:21:02.541,500,39,2021-06-25 15:21:02.668,128,,2021-06-25 15:21:02.669,1.0
2021-06-25 15:21:02.683,500,37,2021-06-25 15:21:02.808,127,,2021-06-25 15:21:02.809,1.0
2021-06-25 15:21:02.821,500,39,2021-06-25 15:21:02.954,134,,2021-06-25 15:21:02.955,1.0
2021-06-25 15:21:02.969,500,39,2021-06-25 15:21:03.110,143,,2021-06-25 15:21:03.111,1.0
2021-06-25 15:21:03.123,500,38,2021-06-25 15:21:03.293,171,,2021-06-25 15:21:03.294,1.0
2021-06-25 15:21:03.307,500,36,2021-06-25 15:21:03.431,126,,2021-06-25 15:21:03.432,1.0
2021-06-25 15:21:03.444,500,38,2021-06-25 15:21:03.580,137,,2021-06-25 15:21:03.581,1.0
2021-06-25 15:21:03.592,500,38,2021-06-25 15:21:03.726,135,,2021-06-25 15:21:03.726,0.0
2021-06-25 15:21:03.739,500,38,2021-06-25 15:21:03.872,135,,2021-06-25 15:21:03.873,1.0
2021-06-25 15:21:03.885,500,40,2021-06-25 15:21:04.012,128,,2021-06-25 15:21:04.014,2.0
2021-06-25 15:21:04.026,500,38,2021-06-25 15:21:04.194,169,,2021-06-25 15:21:04.195,1.0
2021-06-25 15:21:04.208,500,41,2021-06-25 15:21:04.354,148,,2021-06-25 15:21:04.355,1.0
2021-06-25 15:21:04.368,500,39,2021-06-25 15:21:04.499,133,,2021-06-25 15:21:04.500,1.0
2021-06-25 15:21:04.513,500,37,2021-06-25 15:21:04.643,132,,2021-06-25 15:21:04.644,1.0
2021-06-25 15:21:04.656,500,37,2021-06-25 15:21:04.787,133,,2021-06-25 15:21:04.788,1.0
2021-06-25 15:21:04.801,500,38,2021-06-25 15:21:04.935,135,,2021-06-25 15:21:04.936,1.0
2021-06-25 15:21:04.948,500,37,2021-06-25 15:21:05.075,128,,2021-06-25 15:21:05.076,1.0
2021-06-25 15:21:05.088,500,37,2021-06-25 15:21:05.212,126,,2021-06-25 15:21:05.213,1.0
2021-06-25 15:21:05.226,500,36,2021-06-25 15:21:05.362,138,,2021-06-25 15:21:05.363,1.0
2021-06-25 15:21:05.377,500,38,2021-06-25 15:21:05.509,135,,2021-06-25 15:21:05.510,1.0
2021-06-25 15:21:05.523,500,38,2021-06-25 15:21:05.652,131,,2021-06-25 15:21:05.652,0.0
2021-06-25 15:21:05.665,500,38,2021-06-25 15:21:05.822,158,13.0,2021-06-25 15:21:05.823,1.0
2021-06-25 15:21:05.836,500,38,2021-06-25 15:21:05.973,139,,2021-06-25 15:21:05.974,1.0
2021-06-25 15:21:05.986,500,39,2021-06-25 15:21:06.115,131,,2021-06-25 15:21:06.117,2.0
