frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-25 17:16:31.525,346,6,2021-06-25 17:16:31.569,46,,2021-06-25 17:16:31.726,157.0
2021-06-25 17:16:31.628,337,5,2021-06-25 17:16:31.669,42,,2021-06-25 17:16:31.826,157.0
2021-06-25 17:16:31.727,341,5,2021-06-25 17:16:31.777,51,,2021-06-25 17:16:31.934,157.0
2021-06-25 17:16:31.827,336,5,2021-06-25 17:16:31.877,51,,2021-06-25 17:16:32.034,157.0
2021-06-25 17:16:31.927,338,5,2021-06-25 17:16:31.976,50,,2021-06-25 17:16:32.133,157.0
2021-06-25 17:16:32.027,337,6,2021-06-25 17:16:32.078,51,,2021-06-25 17:16:32.235,157.0
2021-06-25 17:16:32.128,341,5,2021-06-25 17:16:32.178,51,,2021-06-25 17:16:32.335,157.0
2021-06-25 17:16:32.228,340,5,2021-06-25 17:16:32.278,51,,2021-06-25 17:16:32.435,157.0
2021-06-25 17:16:32.327,340,6,2021-06-25 17:16:32.378,51,,2021-06-25 17:16:32.535,157.0
2021-06-25 17:16:32.427,347,6,2021-06-25 17:16:32.479,52,,2021-06-25 17:16:32.636,157.0
2021-06-25 17:16:32.527,343,5,2021-06-25 17:16:32.578,52,,2021-06-25 17:16:32.736,158.0
2021-06-25 17:16:32.627,337,6,2021-06-25 17:16:32.678,51,,2021-06-25 17:16:32.835,157.0
2021-06-25 17:16:32.727,337,6,2021-06-25 17:16:32.778,51,,2021-06-25 17:16:32.935,157.0
2021-06-25 17:16:32.828,332,5,2021-06-25 17:16:32.879,52,,2021-06-25 17:16:33.036,157.0
2021-06-25 17:16:32.927,337,5,2021-06-25 17:16:32.977,50,,2021-06-25 17:16:33.134,157.0
2021-06-25 17:16:33.027,332,6,2021-06-25 17:16:33.077,50,,2021-06-25 17:16:33.235,158.0
2021-06-25 17:16:33.127,336,5,2021-06-25 17:16:33.177,51,,2021-06-25 17:16:33.333,156.0
2021-06-25 17:16:33.227,340,6,2021-06-25 17:16:33.279,52,,2021-06-25 17:16:33.436,157.0
2021-06-25 17:16:33.327,342,6,2021-06-25 17:16:33.379,52,,2021-06-25 17:16:33.536,157.0
2021-06-25 17:16:33.428,332,5,2021-06-25 17:16:33.477,50,,2021-06-25 17:16:33.634,157.0
2021-06-25 17:16:33.527,335,6,2021-06-25 17:16:33.569,43,,2021-06-25 17:16:33.726,157.0
2021-06-25 17:16:33.627,335,6,2021-06-25 17:16:33.678,51,,2021-06-25 17:16:33.835,157.0
2021-06-25 17:16:33.728,343,6,2021-06-25 17:16:33.778,51,,2021-06-25 17:16:33.935,157.0
2021-06-25 17:16:33.827,342,5,2021-06-25 17:16:33.878,52,,2021-06-25 17:16:34.035,157.0
2021-06-25 17:16:33.928,355,5,2021-06-25 17:16:33.980,53,,2021-06-25 17:16:34.137,157.0
2021-06-25 17:16:34.027,415,6,2021-06-25 17:16:34.087,60,,2021-06-25 17:16:34.244,157.0
2021-06-25 17:16:34.127,467,6,2021-06-25 17:16:34.182,55,,2021-06-25 17:16:34.339,157.0
2021-06-25 17:16:34.227,482,6,2021-06-25 17:16:34.290,63,,2021-06-25 17:16:34.447,157.0
2021-06-25 17:16:34.327,495,6,2021-06-25 17:16:34.398,71,,2021-06-25 17:16:34.564,166.0
2021-06-25 17:16:34.427,500,7,2021-06-25 17:16:34.498,71,,2021-06-25 17:16:34.662,164.0
2021-06-25 17:16:34.527,500,7,2021-06-25 17:16:34.599,72,,2021-06-25 17:16:34.762,163.0
2021-06-25 17:16:34.627,500,7,2021-06-25 17:16:34.688,61,,2021-06-25 17:16:34.845,157.0
2021-06-25 17:16:34.727,500,7,2021-06-25 17:16:34.799,72,,2021-06-25 17:16:34.962,163.0
2021-06-25 17:16:34.828,500,7,2021-06-25 17:16:34.889,62,,2021-06-25 17:16:35.046,157.0
2021-06-25 17:16:34.928,500,7,2021-06-25 17:16:34.989,62,,2021-06-25 17:16:35.146,157.0
2021-06-25 17:16:35.027,500,7,2021-06-25 17:16:35.094,68,,2021-06-25 17:16:35.260,166.0
2021-06-25 17:16:35.127,500,7,2021-06-25 17:16:35.189,62,,2021-06-25 17:16:35.348,159.0
2021-06-25 17:16:35.227,500,7,2021-06-25 17:16:35.299,72,,2021-06-25 17:16:35.461,162.0
2021-06-25 17:16:35.328,500,7,2021-06-25 17:16:35.387,60,,2021-06-25 17:16:35.544,157.0
2021-06-25 17:16:35.427,500,7,2021-06-25 17:16:35.499,72,,2021-06-25 17:16:35.663,164.0
2021-06-25 17:16:35.527,500,7,2021-06-25 17:16:35.598,71,,2021-06-25 17:16:35.764,166.0
2021-06-25 17:16:35.627,500,7,2021-06-25 17:16:35.699,72,,2021-06-25 17:16:35.864,165.0
2021-06-25 17:16:35.728,500,7,2021-06-25 17:16:35.787,60,,2021-06-25 17:16:35.944,157.0
2021-06-25 17:16:35.828,500,7,2021-06-25 17:16:35.899,72,,2021-06-25 17:16:36.060,161.0
2021-06-25 17:16:35.927,500,7,2021-06-25 17:16:35.999,73,,2021-06-25 17:16:36.163,164.0
2021-06-25 17:16:36.027,500,8,2021-06-25 17:16:36.100,73,,2021-06-25 17:16:36.259,159.0
2021-06-25 17:16:36.127,500,8,2021-06-25 17:16:36.199,72,,2021-06-25 17:16:36.367,168.0
2021-06-25 17:16:36.227,500,7,2021-06-25 17:16:36.299,72,,2021-06-25 17:16:36.465,166.0
2021-06-25 17:16:36.327,500,7,2021-06-25 17:16:36.398,71,,2021-06-25 17:16:36.561,163.0
2021-06-25 17:16:36.427,500,7,2021-06-25 17:16:36.498,71,,2021-06-25 17:16:36.661,163.0
2021-06-25 17:16:36.527,500,7,2021-06-25 17:16:36.599,72,,2021-06-25 17:16:36.767,168.0
2021-06-25 17:16:36.628,500,7,2021-06-25 17:16:36.693,66,,2021-06-25 17:16:36.863,170.0
2021-06-25 17:16:36.728,500,7,2021-06-25 17:16:36.793,65,,2021-06-25 17:16:36.962,169.0
2021-06-25 17:16:36.827,500,7,2021-06-25 17:16:36.889,63,,2021-06-25 17:16:37.045,156.0
2021-06-25 17:16:36.927,500,7,2021-06-25 17:16:36.999,72,,2021-06-25 17:16:37.162,163.0
2021-06-25 17:16:37.027,500,7,2021-06-25 17:16:37.099,72,,2021-06-25 17:16:37.271,172.0
