timestamp,power_mW
2021-06-24 17:32:49.315,26700.0
2021-06-24 17:32:49.351,25484.0
2021-06-24 17:32:49.352,25586.0
2021-06-24 17:32:49.354,24076.0
2021-06-24 17:32:49.355,26568.0
2021-06-24 17:32:49.357,26254.0
2021-06-24 17:32:49.358,25740.0
2021-06-24 17:32:49.359,26658.0
2021-06-24 17:32:49.361,23868.0
2021-06-24 17:32:49.362,26078.0
2021-06-24 17:32:49.365,24724.0
2021-06-24 17:32:49.370,24462.0
2021-06-24 17:32:49.375,24124.0
2021-06-24 17:32:49.380,24802.0
2021-06-24 17:32:49.385,24718.0
2021-06-24 17:32:49.390,24314.0
2021-06-24 17:32:49.395,24898.0
2021-06-24 17:32:49.400,25998.0
2021-06-24 17:32:49.405,24330.0
2021-06-24 17:32:49.410,24200.0
2021-06-24 17:32:49.415,25540.0
2021-06-24 17:32:49.420,24592.0
2021-06-24 17:32:49.425,23504.0
2021-06-24 17:32:49.430,24936.0
2021-06-24 17:32:49.435,23350.0
2021-06-24 17:32:49.440,24956.0
2021-06-24 17:32:49.445,23790.0
2021-06-24 17:32:49.450,26178.0
2021-06-24 17:32:49.455,23590.0
2021-06-24 17:32:49.460,24448.0
2021-06-24 17:32:49.465,24108.0
2021-06-24 17:32:49.470,25372.0
2021-06-24 17:32:49.475,23384.0
2021-06-24 17:32:49.480,24550.0
2021-06-24 17:32:49.485,24760.0
2021-06-24 17:32:49.490,24478.0
2021-06-24 17:32:49.495,24710.0
2021-06-24 17:32:49.500,25490.0
2021-06-24 17:32:49.505,24700.0
2021-06-24 17:32:49.510,24596.0
2021-06-24 17:32:49.515,25248.0
2021-06-24 17:32:49.520,25526.0
2021-06-24 17:32:49.525,24534.0
2021-06-24 17:32:49.530,24888.0
2021-06-24 17:32:49.535,23882.0
2021-06-24 17:32:49.540,26002.0
2021-06-24 17:32:49.545,25742.0
2021-06-24 17:32:49.550,26926.0
2021-06-24 17:32:49.555,24980.0
2021-06-24 17:32:49.560,23858.0
2021-06-24 17:32:49.565,23826.0
2021-06-24 17:32:49.570,25742.0
2021-06-24 17:32:49.575,24996.0
2021-06-24 17:32:49.580,25698.0
2021-06-24 17:32:49.585,23558.0
2021-06-24 17:32:49.590,24338.0
2021-06-24 17:32:49.595,24760.0
2021-06-24 17:32:49.600,24482.0
2021-06-24 17:32:49.605,24550.0
2021-06-24 17:32:49.610,23620.0
2021-06-24 17:32:49.615,25412.0
2021-06-24 17:32:49.620,24854.0
