goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-24 18:17:49.791,237.52100000000002,7.40007,6.409
2021-06-24 18:17:58.445,205.19,10.200025,34.785000000000004
2021-06-24 18:18:09.894,206.367,7.200036,24.597
2021-06-24 18:18:18.334,6.067,12.200129,37.803999999999995
2021-06-24 18:18:31.589,207.495,11.200048,37.457
2021-06-24 18:18:44.044,7.234,11.800113,37.653
2021-06-24 18:18:56.900,207.26600000000002,10.000083,30.651
2021-06-24 18:19:08.150,10.383,10.400143,28.474
2021-06-24 18:19:19.601,212.26500000000001,7.40007,16.665
2021-06-24 18:19:28.240,9.960999999999999,11.000128,30.911
2021-06-24 18:19:40.296,213.864,7.200049,15.087
2021-06-24 18:19:48.738,255.15300000000002,11.200077,18.77
