__run_id,__done,velocity_samples,repetition,mission_execution_s,avg_extraction_time_ms,avg_detection_time_ms,avg_detection_result_delay_ms,recognition_ratio,avg_goal_sending_delay_ms,avg_goal_processing_s,avg_nav_result_delay_ms,num_of_packets,size_of_packets,avg_cpu_util,avg_memory_util,energy_J
run_1,DONE,10x20,1,139.06238102912903,5.719162141194724,60.13033359193173,2.8533747090768036,38.94491854150504,139.99533333333332,9.333417333333331,26.33733333333333,49847,310234533,30.498146851744213,874396837.6792587,4118.2113489878175
run_2,DONE,10x20,2,141.45970273017883,5.690258751902587,60.176560121765604,3.0015220700152208,37.67123287671233,206.66425,9.500129916666667,23.45583333333333,43995,329104435,30.731745000811163,875032421.0007007,4197.172427772522
run_3,DONE,20x40,1,152.7713062763214,5.731416549789621,60.26998597475456,2.708976157082749,37.9382889200561,206.65941666666666,10.433570666666666,20.60325,49523,356836956,31.47233771534709,876256168.2285714,4534.793326965332
run_4,DONE,10x20,3,148.29125881195068,5.7678958785249455,60.18582791033984,2.5184381778741867,36.731742588575564,207.2588333333333,10.050158833333333,25.41566666666667,43131,338538656,30.91205633077858,876122819.8151373,4411.896451401472
run_5,DONE,10x20,4,139.87133932113647,5.638396299151889,59.7378565921357,2.8134155744024674,37.23978411719352,206.25674999999998,9.350224416666668,22.6855,45365,327124879,31.39235127613835,874794158.0509915,4169.5436704907415
run_6,DONE,10x20,5,142.82894086837769,5.834212509419744,60.94122079879427,2.934438583270535,38.28183873398643,207.33316666666664,9.583498666666667,20.668166666666668,43673,321722956,30.31270837187767,875428599.4666667,4235.764588960409
run_7,DONE,20x40,2,146.62736439704895,5.776798825256975,61.06607929515418,2.776798825256975,35.46255506607929,173.4704166666667,9.883325083333334,24.037833333333335,43197,333221530,30.86619344444352,875555648.2163624,4359.514743239402
run_8,DONE,10x20,6,158.91818571090698,5.947545393409549,61.6079354404842,3.2488231338264963,43.846671149966376,206.46966666666663,10.950144916666666,22.30208333333334,47449,357912680,31.390431543079444,876566168.0950594,4698.894330816269
run_9,DONE,20x40,3,157.49689865112305,5.7944369063772045,60.45318860244233,3.0183175033921303,42.06241519674355,206.31841666666665,10.800185416666665,20.829500000000003,49651,368462877,31.251604840618924,876730706.9704217,4671.8333907053475
run_10,DONE,20x40,4,148.11058354377747,6.054269175108538,63.0904486251809,2.4804630969609263,41.17221418234443,190.10983333333334,10.06682575,20.314416666666663,43772,323152302,30.91883382017427,876436880.8150134,4389.84048123312
run_11,DONE,10x20,7,147.7233030796051,5.712308812818645,59.77713037144938,2.646030589949017,37.21777130371449,206.6135833333333,9.983512833333334,19.790249999999997,47960,331269206,30.694165049424353,875086486.0630449,4385.335478874206
run_12,DONE,10x20,8,147.45954966545105,5.604075691411936,58.485443959243085,2.3056768558951966,41.41193595342067,190.2875,9.983499,18.630166666666664,53733,339612373,30.83581995259049,875815999.3118279,4378.27656916666
run_13,DONE,20x40,5,142.9420244693756,5.721052631578948,60.71503759398496,2.3210526315789473,35.11278195488722,173.01458333333332,9.66685,18.635416666666668,46111,328874974,31.443719717630653,876005911.8056905,4250.419935720205
run_14,DONE,20x40,6,140.60089778900146,5.68735632183908,60.326436781609196,2.1877394636015324,38.85057471264368,140.23066666666668,9.433331666666666,26.271,45306,320840542,31.314265581174084,876456274.440678,4170.988309894562
run_15,DONE,10x20,9,139.72383832931519,5.9206471494607085,62.057781201849,3.0300462249614792,36.440677966101696,206.06716666666668,9.350131166666669,23.968333333333334,41467,305020108,31.388377043644983,875614210.9029057,4147.5792346351145
run_16,DONE,20x40,7,147.00745034217834,5.833698030634573,61.03719912472648,2.8927789934354484,40.0437636761488,190.0465833333333,9.983517833333332,24.518916666666666,47192,316906760,31.03436660702338,876600692.6145552,4362.735667920828
run_17,DONE,10x20,10,144.76775407791138,5.672605790645879,59.81514476614699,3.4075723830734965,36.15441722345954,206.2543333333333,9.7336665,21.995833333333337,45901,336447704,31.030458638310677,875985068.4188912,4289.798716141462
run_18,DONE,20x40,8,148.33101630210876,5.68135838150289,59.433526011560694,2.828034682080925,38.36705202312139,206.35891666666666,10.083563333333332,25.327750000000005,45411,345624569,31.730414474074216,876533672.3850267,4394.184728280783
run_19,DONE,20x40,9,148.34928703308105,5.605491329479769,59.4985549132948,2.51878612716763,41.25722543352601,189.64933333333332,10.100190333333332,17.243666666666666,44950,347223298,30.849398464442576,876363047.7005347,4405.013592756033
run_20,DONE,20x40,10,142.07333612442017,5.972033257747544,63.204837490551775,3.416477702191988,38.32199546485261,206.75483333333332,9.566765083333335,20.396749999999997,41445,308501052,31.810320813619274,876239664.9149233,4220.546508661985
