__run_id,__done,amcl_offloaded,navigation_offloaded,obj_recognition_offloaded,repetition,mission_execution_s,avg_extraction_time_ms,avg_detection_time_ms,avg_detection_result_delay_ms,recognition_ratio,avg_goal_sending_delay_ms,avg_goal_processing_s,avg_nav_result_delay_ms,num_of_packets,size_of_packets,avg_cpu_util,avg_memory_util,energy_J
run_1,DONE,true,false,false,1,150.03037023544312,35.87822497420021,130.7533539731682,1.2033023735810113,36.42930856553148,178.44141666666667,10.050563416666668,18.161833333333334,17534,4765500,76.51687601557794,1080990562.0966249,5020.298684283734
run_2,DONE,true,false,true,1,136.594331741333,4.978639240506329,52.932753164556964,3.170886075949367,37.18354430379747,156.69925,9.100262,21.788749999999997,60736,333711983,25.46190140451506,874321111.5007257,4004.602210423231
run_3,DONE,true,true,false,1,155.43290638923645,36.02239532619279,127.59201557935735,0.8305744888023369,37.29308666017527,210.73591666666664,10.483490999999999,17.93975,42709,13617122,75.70133983305327,1075260297.720485,5228.628756212473
run_4,DONE,true,false,false,2,145.70893454551697,36.09818569903949,130.6776947705443,0.8900747065101388,39.060832443970114,162.98458333333335,9.800412916666666,18.685833333333335,17063,4631628,76.51833640594586,1076384816.1635993,4923.589215253353
run_5,DONE,false,true,false,1,146.42539858818054,35.99152542372882,130.26694915254237,0.840042372881356,36.228813559322035,212.47549999999998,9.70002375,18.917416666666668,27538,8712696,76.267501559222,1072738825.3595126,4941.45173493433
run_6,DONE,false,true,false,2,146.8235149383545,36.02860169491525,130.73093220338984,0.878177966101695,39.83050847457627,213.44275000000002,9.766915916666665,17.558,27755,8773082,76.27031755286185,1072571893.9607843,4964.397767545223
run_7,DONE,false,false,false,1,150.08522629737854,36.50770811921891,131.11716341212744,0.8489208633093526,36.07399794450154,176.74266666666665,10.283133083333333,18.12425,2270,279888,77.06479128869775,1087305737.4877565,5077.712929636478
run_8,DONE,true,false,true,2,144.17432951927185,4.976882923191648,52.47874720357942,3.2595078299776286,35.34675615212528,206.47766666666666,9.683557583333334,24.714749999999995,69816,344499324,26.492842455034985,875663444.5698555,4241.118185831785
run_9,DONE,true,true,true,1,138.64481663703918,5.3354037267080745,54.090062111801245,3.6847826086956523,37.577639751552795,147.50908333333334,9.150067333333334,28.42358333333333,67299,278509165,25.455436389333702,861042324.6924177,4049.032403137684
run_10,DONE,false,true,true,1,142.73694133758545,5.35361216730038,54.052471482889736,5.12319391634981,36.958174904942965,158.44325,9.483384916666669,29.3385,63194,306274633,26.71682895042303,873958797.3518776,4173.270399403334
run_11,DONE,false,false,false,2,139.16108918190002,36.27733934611049,132.98083427282975,0.8635851183765502,36.41488162344983,161.53841666666668,9.350244166666668,19.384083333333333,2110,260004,77.17096985627853,1072545876.724679,4685.763236002922
run_12,DONE,true,true,false,2,137.9319589138031,36.41348314606741,129.81011235955057,0.8224719101123595,37.97752808988764,213.10025,9.033416583333333,18.816499999999998,37594,12076483,75.42645557247246,1051208491.2494608,4655.555474087953
run_13,DONE,true,true,true,2,141.95635962486267,4.967448902346707,51.14761544284633,3.659348978046934,39.06131718395155,149.87591666666665,9.466717416666667,28.823333333333334,72845,303738823,24.27835202550089,861288928.5363128,4154.975188275814
run_14,DONE,true,false,false,3,141.713707447052,35.97133406835722,131.1653803748622,0.8699007717750827,38.14773980154355,178.10000000000002,9.466857833333334,14.3755,16426,4509844,76.71791442179696,1069793993.7186844,4774.443998579025
run_15,DONE,false,true,true,2,137.3019917011261,5.108832807570978,53.38643533123028,3.333596214511041,36.041009463722396,80.38941666666666,9.13341975,23.940833333333334,70555,299162319,25.818457174404283,873555015.6135545,4061.032437713623
