__run_id,__done,frame_rate,repetition,mission_execution_s,avg_extraction_time_ms,avg_detection_time_ms,avg_detection_result_delay_ms,recognition_ratio,avg_goal_sending_delay_ms,avg_goal_processing_s,avg_nav_result_delay_ms,num_of_packets,size_of_packets,avg_cpu_util,avg_memory_util,energy_J
run_1,DONE,20,1,143.77137804031372,5.365470852017937,55.884155455904335,2.9790732436472345,33.5575485799701,189.8684166666667,9.666755916666668,24.459,51766,370894133,30.727693462240104,876146775.6906078,4285.653171082497
run_2,DONE,20,2,137.41309928894043,5.494885916601102,57.03933910306845,2.4531864673485444,35.01180173092053,189.34458333333336,9.150248333333332,23.32375,47024,336943314,31.71566790983565,875355160.398556,4097.311865693092
run_3,DONE,60,1,144.79389142990112,5.302793296089385,43.4584729981378,11.340409683426444,35.08379888268156,191.07183333333333,9.616927833333333,19.750333333333334,28665,298740100,38.427914899399575,876391577.1083677,4605.092145997286
run_4,DONE,60,2,144.13623690605164,5.220128156803619,43.53825857519789,8.415378816434226,34.300791556728235,190.8221666666667,9.616861666666665,17.48283333333333,29403,299160749,38.75220383888434,877115634.600551,4575.858461269617
run_5,DONE,60,3,152.9628722667694,5.335988414192614,44.61223750905141,10.905141202027517,34.93845039826213,175.05658333333335,10.333205333333334,19.821416666666668,30926,317951117,39.21752106037177,877550940.8643738,4862.500416104317
run_6,DONE,60,4,145.96844124794006,5.288511267085334,43.47284817140746,16.56483191725157,40.302918359807904,191.13741666666667,9.766863166666667,16.166083333333336,31663,309250018,38.97578227893025,877190922.7972789,4664.250214262485
run_7,DONE,60,5,149.27472758293152,5.314733770970095,44.57913931436907,10.2345003646973,37.23559445660102,207.12749999999997,10.033747833333333,14.374666666666668,30683,310756026,38.63607965703819,877034175.532226,4748.789392815352
run_8,DONE,60,6,146.9062294960022,5.326900810497877,45.92705519104593,23.558857583944423,36.240833654959474,191.00424999999998,9.88330925,20.353166666666663,31690,310953320,38.865314328888125,877317606.7288709,4689.169925190448
run_9,DONE,20,3,145.83897733688354,5.282560706401766,55.306107431935246,3.451802796173657,36.055923473142016,206.34,9.750217666666666,27.275666666666666,59952,370448099,30.575594882589066,875442173.2154996,4343.875385074377
run_10,DONE,20,4,143.66058683395386,5.418535127055306,56.252615844544096,3.4275037369207775,35.276532137518686,206.01783333333333,9.700187416666667,21.294750000000004,49974,364389974,30.14723762952162,876609702.8950276,4284.636312385797
run_11,DONE,20,5,143.65907168388367,5.405385190725505,55.86163051608078,2.404637247569185,33.80703066566941,189.3641666666667,9.700171416666667,21.381083333333336,50818,367368420,30.765584019685335,876443321.055978,4289.550503912926
run_12,DONE,20,6,145.09914898872375,5.452257586972613,56.417468541820874,2.6491487786824575,36.71354552183568,206.51691666666662,9.800221833333334,24.427916666666665,54860,361347819,30.694873606433465,876487885.0799726,4313.105973623991
run_13,DONE,20,7,148.15070056915283,5.490948587979725,57.05286024619841,2.7617668356263576,38.667632150615496,189.89866666666668,10.083388166666667,22.46316666666667,51528,373345176,30.914601519534195,876580235.7454789,4397.30739679718
run_14,DONE,20,8,145.6115438938141,5.8936484490398815,54.44460856720827,2.6632200886262924,38.47858197932053,173.116,9.866858916666667,21.52508333333333,54262,384468324,30.6036128838532,877014931.1083845,4333.669690461636
run_15,DONE,60,7,142.93361973762512,5.392569896591344,44.37418613558024,9.162772883952508,39.67828418230563,173.92741666666666,9.550272916666666,23.716333333333335,29267,294895015,39.62362743401544,877477463.8832523,4529.955302806854
run_16,DONE,20,9,146.17806220054626,5.306901615271659,55.17621145374449,2.8597650513950073,38.2525697503671,206.34441666666666,9.883536083333334,26.869500000000002,49925,363727761,30.781602274214258,877666974.1534284,4349.412172178983
run_17,DONE,60,8,154.05509281158447,5.3233676975945015,42.898969072164945,9.314432989690722,32.19931271477663,190.63149999999996,10.466772916666667,16.595583333333334,31709,316778938,39.248195804271504,878610136.4123712,4879.520966745615
run_18,DONE,20,10,135.57969331741333,5.334658187599364,55.554054054054056,2.8465818759936408,35.532591414944356,190.55950000000004,9.033334333333334,30.856166666666667,47754,345449060,30.519970787818536,877125530.12436,4054.927186853647
run_19,DONE,60,9,150.50766944885254,5.412105835447626,44.536063791228706,10.304095686843059,41.35556361000363,207.67774999999997,10.150121416666666,18.117499999999996,31531,309094049,39.0078495788071,878594728.8654354,4771.281190032482
run_20,DONE,60,10,144.2853467464447,5.2648908620051795,43.12948575656678,8.21716611172771,31.33555308916019,190.85533333333333,9.600086750000001,18.97458333333333,28435,301836277,39.44225733573898,878077462.9043359,4573.0852490122315
