timestamp,protocol,src_addr,src_port,dst_addr,dst_port,length_B
2021-06-25 18:33:32.854666,TCP,192.168.1.7,22,192.168.1.9,60304,594
2021-06-25 18:33:32.899195,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:32.901335,TCP,192.168.1.7,22,192.168.1.9,60304,130
2021-06-25 18:33:32.901358,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:32.902130,TCP,192.168.1.9,60304,192.168.1.7,22,162
2021-06-25 18:33:32.903802,TCP,192.168.1.7,22,192.168.1.9,60304,66
2021-06-25 18:33:32.907749,TCP,192.168.1.7,22,192.168.1.9,60304,114
2021-06-25 18:33:32.907780,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:32.908719,TCP,192.168.1.9,60304,192.168.1.7,22,242
2021-06-25 18:33:32.910496,TCP,192.168.1.7,22,192.168.1.9,60304,66
2021-06-25 18:33:32.912121,TCP,192.168.1.7,22,192.168.1.9,60304,178
2021-06-25 18:33:32.912166,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:34.594866,TCP,192.168.1.7,22,192.168.1.9,60304,226
2021-06-25 18:33:34.594867,TCP,192.168.1.7,22,192.168.1.9,60304,210
2021-06-25 18:33:34.594867,TCP,192.168.1.7,22,192.168.1.9,60304,210
2021-06-25 18:33:34.594915,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:34.594947,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:34.594957,TCP,192.168.1.9,60304,192.168.1.7,22,78
2021-06-25 18:33:34.799053,TCP,192.168.1.7,22,192.168.1.9,60304,178
2021-06-25 18:33:34.799053,TCP,192.168.1.7,22,192.168.1.9,60304,194
2021-06-25 18:33:34.799053,TCP,192.168.1.7,22,192.168.1.9,60304,194
2021-06-25 18:33:34.799087,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:34.799130,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:34.799143,TCP,192.168.1.9,60304,192.168.1.7,22,78
2021-06-25 18:33:37.666341,TCP,192.168.1.7,22,192.168.1.9,60304,178
2021-06-25 18:33:37.666341,TCP,192.168.1.7,22,192.168.1.9,60304,162
2021-06-25 18:33:37.666342,TCP,192.168.1.7,22,192.168.1.9,60304,210
2021-06-25 18:33:37.666342,TCP,192.168.1.7,22,192.168.1.9,60304,210
2021-06-25 18:33:37.666374,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:37.666413,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:37.666426,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:37.666435,TCP,192.168.1.9,60304,192.168.1.7,22,78
2021-06-25 18:33:37.871988,TCP,192.168.1.7,44502,192.168.1.9,22,74
2021-06-25 18:33:37.872032,TCP,192.168.1.9,22,192.168.1.7,44502,74
2021-06-25 18:33:37.873802,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:37.874885,TCP,192.168.1.7,44502,192.168.1.9,22,90
2021-06-25 18:33:37.874907,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:37.881939,TCP,192.168.1.9,22,192.168.1.7,44502,107
2021-06-25 18:33:37.883580,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:37.883599,TCP,192.168.1.9,22,192.168.1.7,44502,1146
2021-06-25 18:33:37.885496,TCP,192.168.1.7,44502,192.168.1.9,22,706
2021-06-25 18:33:37.885496,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:37.885517,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:37.887644,TCP,192.168.1.7,44502,192.168.1.9,22,90
2021-06-25 18:33:37.887654,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:37.892247,TCP,192.168.1.9,22,192.168.1.7,44502,346
2021-06-25 18:33:37.893752,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:37.970302,TCP,192.168.1.7,44502,192.168.1.9,22,338
2021-06-25 18:33:37.970334,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:37.976022,TCP,192.168.1.9,22,192.168.1.7,44502,914
2021-06-25 18:33:37.977615,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:38.077044,TCP,192.168.1.7,44502,192.168.1.9,22,82
2021-06-25 18:33:38.119082,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:38.120892,TCP,192.168.1.7,44502,192.168.1.9,22,130
2021-06-25 18:33:38.120923,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:38.121102,TCP,192.168.1.9,22,192.168.1.7,44502,130
2021-06-25 18:33:38.124114,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:38.180245,TCP,192.168.1.7,44502,192.168.1.9,22,1234
2021-06-25 18:33:38.180285,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:38.187841,TCP,192.168.1.9,22,192.168.1.7,44502,114
2021-06-25 18:33:38.189203,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:38.195072,TCP,192.168.1.7,22,192.168.1.9,60304,338
2021-06-25 18:33:38.195093,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:38.195768,TCP,192.168.1.7,44502,192.168.1.9,22,146
2021-06-25 18:33:38.195786,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:38.325694,TCP,192.168.1.9,22,192.168.1.7,44502,594
2021-06-25 18:33:38.330637,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:38.330648,TCP,192.168.1.9,22,192.168.1.7,44502,130
2021-06-25 18:33:38.332163,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:38.360395,TCP,192.168.1.7,44502,192.168.1.9,22,306
2021-06-25 18:33:38.360516,TCP,192.168.1.9,22,192.168.1.7,44502,66
2021-06-25 18:33:38.361262,TCP,192.168.1.9,22,192.168.1.7,44502,178
2021-06-25 18:33:38.364458,TCP,192.168.1.7,22,192.168.1.9,60304,178
2021-06-25 18:33:38.364480,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:38.403749,TCP,192.168.1.7,44502,192.168.1.9,22,66
2021-06-25 18:33:38.713687,TCP,192.168.1.9,41230,192.168.1.7,34199,74
2021-06-25 18:33:38.717855,TCP,192.168.1.7,34199,192.168.1.9,41230,74
2021-06-25 18:33:38.717869,TCP,192.168.1.9,41230,192.168.1.7,34199,66
2021-06-25 18:33:38.717914,TCP,192.168.1.9,41230,192.168.1.7,34199,467
2021-06-25 18:33:38.720822,TCP,192.168.1.7,34199,192.168.1.9,41230,66
2021-06-25 18:33:38.722152,TCP,192.168.1.7,34199,192.168.1.9,41230,440
2021-06-25 18:33:38.722160,TCP,192.168.1.9,41230,192.168.1.7,34199,66
2021-06-25 18:33:38.771172,TCP,192.168.1.7,22,192.168.1.9,60304,1714
2021-06-25 18:33:38.771172,TCP,192.168.1.7,22,192.168.1.9,60304,2962
2021-06-25 18:33:38.771172,TCP,192.168.1.7,22,192.168.1.9,60304,2146
2021-06-25 18:33:38.771192,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:38.771207,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:38.771210,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:38.779341,TCP,192.168.1.7,22,192.168.1.9,60304,178
2021-06-25 18:33:38.779341,TCP,192.168.1.7,22,192.168.1.9,60304,226
2021-06-25 18:33:38.779353,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:38.779368,TCP,192.168.1.9,60304,192.168.1.7,22,66
2021-06-25 18:33:39.099962,TCP,192.168.1.7,22,192.168.1.9,60304,194
2021-06-25 18:33:39.099963,TCP,192.168.1.7,22,192.168.1.9,60304,194
2021-06-25 18:33:39.099963,TCP,192.168.1.7,22,192.168.1.9,60304,178
2021-06-25 18:33:39.099982,TCP,192.168.1.9,60304,192.168.1.7,22,66
