frame_received_at,num_of_descriptors_extracted,extraction_time_ms,detection_ended_at,detection_time_ms,id_of_detected_object,detection_received_at,result_delay_ms
2021-06-24 21:44:15.103,365,36,2021-06-24 21:44:15.297,201,,2021-06-24 21:44:15.298,1.0
2021-06-24 21:44:15.312,357,33,2021-06-24 21:44:15.457,147,,2021-06-24 21:44:15.458,1.0
2021-06-24 21:44:15.472,359,30,2021-06-24 21:44:15.595,124,,2021-06-24 21:44:15.598,3.0
2021-06-24 21:44:15.611,361,33,2021-06-24 21:44:15.724,115,,2021-06-24 21:44:15.725,1.0
2021-06-24 21:44:15.736,358,30,2021-06-24 21:44:15.849,114,,2021-06-24 21:44:15.850,1.0
2021-06-24 21:44:15.865,349,30,2021-06-24 21:44:15.981,120,,2021-06-24 21:44:15.982,1.0
2021-06-24 21:44:15.994,349,33,2021-06-24 21:44:16.103,111,,2021-06-24 21:44:16.103,0.0
2021-06-24 21:44:16.117,355,30,2021-06-24 21:44:16.228,113,,2021-06-24 21:44:16.229,1.0
2021-06-24 21:44:16.242,359,31,2021-06-24 21:44:16.381,140,,2021-06-24 21:44:16.385,4.0
2021-06-24 21:44:16.395,353,30,2021-06-24 21:44:16.502,108,,2021-06-24 21:44:16.503,1.0
2021-06-24 21:44:16.519,361,30,2021-06-24 21:44:16.637,119,,2021-06-24 21:44:16.638,1.0
2021-06-24 21:44:16.650,358,31,2021-06-24 21:44:16.749,101,,2021-06-24 21:44:16.750,1.0
2021-06-24 21:44:16.763,362,30,2021-06-24 21:44:16.858,97,,2021-06-24 21:44:16.859,1.0
2021-06-24 21:44:16.872,357,30,2021-06-24 21:44:16.969,99,,2021-06-24 21:44:16.970,1.0
2021-06-24 21:44:16.981,372,31,2021-06-24 21:44:17.083,103,,2021-06-24 21:44:17.084,1.0
2021-06-24 21:44:17.096,391,32,2021-06-24 21:44:17.206,112,,2021-06-24 21:44:17.207,1.0
2021-06-24 21:44:17.220,438,32,2021-06-24 21:44:17.343,124,,2021-06-24 21:44:17.343,0.0
2021-06-24 21:44:17.356,484,33,2021-06-24 21:44:17.515,160,,2021-06-24 21:44:17.516,1.0
2021-06-24 21:44:17.529,497,33,2021-06-24 21:44:17.659,132,,2021-06-24 21:44:17.659,0.0
2021-06-24 21:44:17.674,500,35,2021-06-24 21:44:17.803,131,,2021-06-24 21:44:17.804,1.0
2021-06-24 21:44:17.824,500,40,2021-06-24 21:44:17.958,142,,2021-06-24 21:44:17.959,1.0
2021-06-24 21:44:17.972,500,42,2021-06-24 21:44:18.131,160,,2021-06-24 21:44:18.132,1.0
2021-06-24 21:44:18.144,500,41,2021-06-24 21:44:18.308,166,,2021-06-24 21:44:18.309,1.0
2021-06-24 21:44:18.324,500,41,2021-06-24 21:44:18.496,175,,2021-06-24 21:44:18.497,1.0
2021-06-24 21:44:18.510,500,38,2021-06-24 21:44:18.644,137,,2021-06-24 21:44:18.645,1.0
2021-06-24 21:44:18.657,500,41,2021-06-24 21:44:18.795,140,,2021-06-24 21:44:18.796,1.0
2021-06-24 21:44:18.809,500,39,2021-06-24 21:44:18.944,137,,2021-06-24 21:44:18.945,1.0
2021-06-24 21:44:18.960,500,38,2021-06-24 21:44:19.119,161,,2021-06-24 21:44:19.120,1.0
2021-06-24 21:44:19.131,500,36,2021-06-24 21:44:19.257,127,,2021-06-24 21:44:19.258,1.0
2021-06-24 21:44:19.271,500,39,2021-06-24 21:44:19.400,131,,2021-06-24 21:44:19.400,0.0
2021-06-24 21:44:19.413,500,36,2021-06-24 21:44:19.542,131,,2021-06-24 21:44:19.542,0.0
2021-06-24 21:44:19.554,500,36,2021-06-24 21:44:19.711,157,,2021-06-24 21:44:19.712,1.0
2021-06-24 21:44:19.728,500,38,2021-06-24 21:44:19.862,139,,2021-06-24 21:44:19.864,2.0
2021-06-24 21:44:19.876,500,35,2021-06-24 21:44:20.002,128,,2021-06-24 21:44:20.003,1.0
2021-06-24 21:44:20.016,500,35,2021-06-24 21:44:20.143,130,,2021-06-24 21:44:20.144,1.0
2021-06-24 21:44:20.158,500,36,2021-06-24 21:44:20.287,132,,2021-06-24 21:44:20.287,0.0
2021-06-24 21:44:20.300,500,37,2021-06-24 21:44:20.429,131,,2021-06-24 21:44:20.429,0.0
2021-06-24 21:44:20.444,500,39,2021-06-24 21:44:20.588,147,,2021-06-24 21:44:20.589,1.0
2021-06-24 21:44:20.601,500,38,2021-06-24 21:44:20.730,131,,2021-06-24 21:44:20.730,0.0
2021-06-24 21:44:20.744,500,37,2021-06-24 21:44:20.871,129,,2021-06-24 21:44:20.872,1.0
2021-06-24 21:44:20.884,500,37,2021-06-24 21:44:21.011,129,,2021-06-24 21:44:21.013,2.0
2021-06-24 21:44:21.027,500,38,2021-06-24 21:44:21.181,156,,2021-06-24 21:44:21.181,0.0
2021-06-24 21:44:21.193,500,36,2021-06-24 21:44:21.321,129,,2021-06-24 21:44:21.321,0.0
2021-06-24 21:44:21.333,500,40,2021-06-24 21:44:21.468,136,,2021-06-24 21:44:21.469,1.0
2021-06-24 21:44:21.482,500,37,2021-06-24 21:44:21.614,133,,2021-06-24 21:44:21.615,1.0
2021-06-24 21:44:21.626,500,37,2021-06-24 21:44:21.756,131,,2021-06-24 21:44:21.759,3.0
2021-06-24 21:44:21.771,500,36,2021-06-24 21:44:21.901,132,,2021-06-24 21:44:21.901,0.0
2021-06-24 21:44:21.914,500,39,2021-06-24 21:44:22.045,131,,2021-06-24 21:44:22.045,0.0
2021-06-24 21:44:22.057,500,38,2021-06-24 21:44:22.198,142,,2021-06-24 21:44:22.199,1.0
2021-06-24 21:44:22.213,500,37,2021-06-24 21:44:22.345,134,,2021-06-24 21:44:22.346,1.0
2021-06-24 21:44:22.359,500,39,2021-06-24 21:44:22.528,171,,2021-06-24 21:44:22.528,0.0
2021-06-24 21:44:22.541,500,41,2021-06-24 21:44:22.672,133,,2021-06-24 21:44:22.672,0.0
2021-06-24 21:44:22.685,500,39,2021-06-24 21:44:22.818,135,,2021-06-24 21:44:22.819,1.0
2021-06-24 21:44:22.831,500,38,2021-06-24 21:44:22.968,139,,2021-06-24 21:44:22.968,0.0
2021-06-24 21:44:22.980,500,39,2021-06-24 21:44:23.113,134,13.0,2021-06-24 21:44:23.114,1.0
2021-06-24 21:44:23.127,500,37,2021-06-24 21:44:23.264,139,13.0,2021-06-24 21:44:23.264,0.0
2021-06-24 21:44:23.278,500,38,2021-06-24 21:44:23.427,151,13.0,2021-06-24 21:44:23.427,0.0
2021-06-24 21:44:23.440,500,39,2021-06-24 21:44:23.568,130,13.0,2021-06-24 21:44:23.569,1.0
2021-06-24 21:44:23.581,500,37,2021-06-24 21:44:23.712,133,13.0,2021-06-24 21:44:23.712,0.0
2021-06-24 21:44:23.725,500,37,2021-06-24 21:44:23.853,130,13.0,2021-06-24 21:44:23.854,1.0
2021-06-24 21:44:23.867,500,39,2021-06-24 21:44:23.998,133,13.0,2021-06-24 21:44:23.999,1.0
2021-06-24 21:44:24.014,500,37,2021-06-24 21:44:24.147,136,13.0,2021-06-24 21:44:24.148,1.0
2021-06-24 21:44:24.161,500,36,2021-06-24 21:44:24.293,133,13.0,2021-06-24 21:44:24.293,0.0
2021-06-24 21:44:24.305,500,37,2021-06-24 21:44:24.434,130,13.0,2021-06-24 21:44:24.434,0.0
2021-06-24 21:44:24.447,500,42,2021-06-24 21:44:24.620,175,13.0,2021-06-24 21:44:24.621,1.0
2021-06-24 21:44:24.634,500,37,2021-06-24 21:44:24.774,142,13.0,2021-06-24 21:44:24.775,1.0
2021-06-24 21:44:24.786,500,36,2021-06-24 21:44:24.911,126,13.0,2021-06-24 21:44:24.912,1.0
2021-06-24 21:44:24.925,500,38,2021-06-24 21:44:25.051,128,13.0,2021-06-24 21:44:25.052,1.0
2021-06-24 21:44:25.064,500,39,2021-06-24 21:44:25.198,135,13.0,2021-06-24 21:44:25.199,1.0
2021-06-24 21:44:25.212,500,38,2021-06-24 21:44:25.342,133,13.0,2021-06-24 21:44:25.343,1.0
2021-06-24 21:44:25.356,500,36,2021-06-24 21:44:25.490,136,13.0,2021-06-24 21:44:25.491,1.0
2021-06-24 21:44:25.502,500,39,2021-06-24 21:44:25.633,132,13.0,2021-06-24 21:44:25.634,1.0
2021-06-24 21:44:25.647,500,37,2021-06-24 21:44:25.776,132,13.0,2021-06-24 21:44:25.777,1.0
2021-06-24 21:44:25.789,500,40,2021-06-24 21:44:25.928,140,13.0,2021-06-24 21:44:25.929,1.0
2021-06-24 21:44:25.942,500,38,2021-06-24 21:44:26.072,131,13.0,2021-06-24 21:44:26.073,1.0
2021-06-24 21:44:26.086,500,37,2021-06-24 21:44:26.215,131,13.0,2021-06-24 21:44:26.215,0.0
2021-06-24 21:44:26.229,500,38,2021-06-24 21:44:26.394,168,13.0,2021-06-24 21:44:26.395,1.0
2021-06-24 21:44:26.412,500,40,2021-06-24 21:44:26.584,176,13.0,2021-06-24 21:44:26.588,4.0
2021-06-24 21:44:26.600,500,37,2021-06-24 21:44:26.746,147,13.0,2021-06-24 21:44:26.747,1.0
2021-06-24 21:44:26.760,500,43,2021-06-24 21:44:26.931,174,13.0,2021-06-24 21:44:26.932,1.0
2021-06-24 21:44:26.945,500,35,2021-06-24 21:44:27.082,139,,2021-06-24 21:44:27.083,1.0
2021-06-24 21:44:27.098,499,32,2021-06-24 21:44:27.243,148,,2021-06-24 21:44:27.244,1.0
2021-06-24 21:44:27.257,500,31,2021-06-24 21:44:27.422,167,,2021-06-24 21:44:27.424,2.0
2021-06-24 21:44:27.437,494,32,2021-06-24 21:44:27.604,168,,2021-06-24 21:44:27.605,1.0
2021-06-24 21:44:27.620,487,31,2021-06-24 21:44:27.742,125,,2021-06-24 21:44:27.743,1.0
