goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-30 19:44:17.970,208.733,8.40016,28.107
2021-06-30 19:44:27.618,206.50199999999998,10.200144,34.354
2021-06-30 19:44:39.069,205.268,7.600249,26.483
2021-06-30 19:44:47.911,205.654,12.60022,5.126
2021-06-30 19:45:01.733,206.324,8.799795,28.881
2021-06-30 19:45:11.778,7.398,11.199333,37.269
2021-06-30 19:45:24.035,207.563,10.999817,33.62
2021-06-30 19:45:36.288,207.862,10.600092,37.046
2021-06-30 19:45:48.143,207.711,8.200133,28.156
2021-06-30 19:45:57.589,205.731,10.200125,35.144
2021-06-30 19:46:09.040,205.45,12.800237,6.313
2021-06-30 19:46:23.061,207.867,13.000197,7.936
