goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-24 21:20:16.287,206.808,8.800067,5.125
2021-06-24 21:20:26.313,207.236,10.800411,16.352999999999998
2021-06-24 21:20:38.347,206.81,6.600185,34.005
2021-06-24 21:20:46.204,217.017,11.400288,26.695
2021-06-24 21:20:58.867,210.03,7.200116,36.854
2021-06-24 21:21:07.329,207.43,12.000341,6.229
2021-06-24 21:21:20.561,223.389,9.399943,18.668
2021-06-24 21:21:31.221,13.835,10.200096,27.069
2021-06-24 21:21:42.477,206.707,10.400767,4.526
2021-06-24 21:21:54.110,217.09300000000002,12.998671,2.236
2021-06-24 21:22:08.339,209.477,13.000389,32.134
2021-06-24 21:22:22.594,206.77300000000002,11.800323,2.904
