goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-25 16:20:00.492,205.493,8.600121,29.386
2021-06-25 16:20:10.337,206.103,10.800148,36.748999999999995
2021-06-25 16:20:22.390,207.214,7.400187,25.599
2021-06-25 16:20:31.033,207.646,11.000218,2.1359999999999997
2021-06-25 16:20:43.257,206.353,7.800152,25.495
2021-06-25 16:20:52.304,206.084,10.599936,35.98
2021-06-25 16:21:04.155,205.37900000000002,7.400065,26.556
2021-06-25 16:21:12.797,206.83,10.000425,33.745
2021-06-25 16:21:24.049,206.52100000000002,7.000142,27.337
2021-06-25 16:21:32.293,205.13799999999998,11.00012,37.742
2021-06-25 16:21:44.548,207.824,7.200163,27.012999999999998
2021-06-25 16:21:52.993,206.715,11.000033,1.252
