goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-30 14:34:01.418,205.30599999999998,8.400143,29.551000000000002
2021-06-30 14:34:11.062,207.122,10.600093,1.785
2021-06-30 14:34:22.882,206.103,7.000193,23.704
2021-06-30 14:34:31.122,207.369,11.200284,2.347
2021-06-30 14:34:43.542,205.187,7.200256,23.557000000000002
2021-06-30 14:34:51.985,206.05599999999998,11.200244,37.699999999999996
2021-06-30 14:35:04.439,206.34900000000002,9.400165,34.486000000000004
2021-06-30 14:35:15.090,7.643,10.200287,32.07
2021-06-30 14:35:26.339,205.763,9.200076,32.161
2021-06-30 14:35:36.788,8.439,15.200229,11.332
2021-06-30 14:35:53.020,206.52499999999998,7.400167,26.308
2021-06-30 14:36:01.665,205.53,11.40017,3.3
