goal_sent_at,goal_sending_delay_ms,goal_processing_s,result_delay_ms
2021-06-25 17:34:56.346,206.232,9.40018,29.588
2021-06-25 17:35:06.991,205.748,10.600186,2.0660000000000003
2021-06-25 17:35:18.811,206.475,6.800112,25.413
2021-06-25 17:35:26.852,205.854,10.801021,35.125
2021-06-25 17:35:38.907,207.11499999999998,6.800217,21.668
2021-06-25 17:35:46.946,207.745,10.800381,34.874
2021-06-25 17:35:59.001,206.007,7.600247,23.746
2021-06-25 17:36:07.843,206.673,9.600168,35.159000000000006
2021-06-25 17:36:18.695,207.165,6.800425,20.41
2021-06-25 17:36:26.732,207.921,12.000476,1.603
2021-06-25 17:36:39.951,205.72099999999998,7.400154,25.125
2021-06-25 17:36:48.595,205.901,11.000084,37.015
