timestamp,power_mW
2021-06-30 16:06:16.805,27490.0
2021-06-30 16:06:16.845,24918.0
2021-06-30 16:06:16.846,23986.0
2021-06-30 16:06:16.848,25572.0
2021-06-30 16:06:16.849,24446.0
2021-06-30 16:06:16.850,25536.0
2021-06-30 16:06:16.852,25452.0
2021-06-30 16:06:16.853,24546.0
2021-06-30 16:06:16.855,25560.0
2021-06-30 16:06:16.856,24596.0
2021-06-30 16:06:16.858,24374.0
2021-06-30 16:06:16.860,24662.0
2021-06-30 16:06:16.865,24550.0
2021-06-30 16:06:16.871,25570.0
2021-06-30 16:06:16.875,24818.0
2021-06-30 16:06:16.880,23758.0
2021-06-30 16:06:16.885,25236.0
2021-06-30 16:06:16.890,25448.0
2021-06-30 16:06:16.895,25588.0
2021-06-30 16:06:16.900,26536.0
2021-06-30 16:06:16.905,24200.0
2021-06-30 16:06:16.910,24448.0
2021-06-30 16:06:16.915,23240.0
2021-06-30 16:06:16.920,24236.0
2021-06-30 16:06:16.925,24056.0
2021-06-30 16:06:16.930,23452.0
2021-06-30 16:06:16.935,25694.0
2021-06-30 16:06:16.940,25488.0
2021-06-30 16:06:16.945,24838.0
2021-06-30 16:06:16.950,23616.0
2021-06-30 16:06:16.956,25914.0
2021-06-30 16:06:16.960,23004.0
2021-06-30 16:06:16.965,24436.0
2021-06-30 16:06:16.970,23718.0
2021-06-30 16:06:16.975,25362.0
2021-06-30 16:06:16.980,24954.0
2021-06-30 16:06:16.985,24694.0
2021-06-30 16:06:16.990,23462.0
2021-06-30 16:06:16.995,25406.0
2021-06-30 16:06:17.000,24000.0
2021-06-30 16:06:17.005,25890.0
2021-06-30 16:06:17.010,25354.0
2021-06-30 16:06:17.015,24586.0
2021-06-30 16:06:17.020,23694.0
2021-06-30 16:06:17.025,24216.0
2021-06-30 16:06:17.030,23374.0
2021-06-30 16:06:17.035,25110.0
2021-06-30 16:06:17.040,24596.0
2021-06-30 16:06:17.045,26366.0
2021-06-30 16:06:17.050,25598.0
2021-06-30 16:06:17.055,25156.0
2021-06-30 16:06:17.060,24982.0
2021-06-30 16:06:17.065,23750.0
2021-06-30 16:06:17.070,23460.0
2021-06-30 16:06:17.075,24818.0
2021-06-30 16:06:17.080,22916.0
2021-06-30 16:06:17.085,24410.0
2021-06-30 16:06:17.090,26162.0
2021-06-30 16:06:17.095,24960.0
2021-06-30 16:06:17.100,25064.0
2021-06-30 16:06:17.105,24662.0
2021-06-30 16:06:17.110,23540.0
2021-06-30 16:06:17.115,25470.0
2021-06-30 16:06:17.120,22892.0
2021-06-30 16:06:17.125,25426.0
2021-06-30 16:06:17.130,24648.0
2021-06-30 16:06:17.135,24774.0
2021-06-30 16:06:17.140,24156.0
2021-06-30 16:06:17.145,24746.0
